,sentiment_analysis,developer,release_date
2218,1,Avalanche Studios,2010
2219,2,Avalanche Studios,2010
2220,2,Avalanche Studios,2010
2221,0,Avalanche Studios,2010
2222,2,Avalanche Studios,2010
2223,1,Avalanche Studios,2010
2224,1,Avalanche Studios,2010
2225,1,Avalanche Studios,2010
2226,1,Avalanche Studios,2010
2227,0,Avalanche Studios,2010
2228,1,Avalanche Studios,2010
2229,1,Avalanche Studios,2010
2230,2,Avalanche Studios,2010
2231,1,Avalanche Studios,2010
2232,2,Avalanche Studios,2010
2233,2,Avalanche Studios,2010
2234,2,Avalanche Studios,2010
2235,1,Avalanche Studios,2010
3839,2,Avalanche Studios,2013
3840,1,Avalanche Studios,2013
3841,1,Avalanche Studios,2013
3842,2,Avalanche Studios,2013
3843,1,Avalanche Studios,2013
3844,2,Avalanche Studios,2013
3845,2,Avalanche Studios,2013
3846,1,Avalanche Studios,2013
3847,1,Avalanche Studios,2013
3634,2,Avalanche Studios,2015
3635,2,Avalanche Studios,2015
3636,0,Avalanche Studios,2015
3637,0,Avalanche Studios,2015
3638,1,Avalanche Studios,2015
3639,2,Avalanche Studios,2015
3640,2,Avalanche Studios,2015
3280,2,"Avalanche Studios,Feral Interactive (Mac/Linux)",2015
3281,2,"Avalanche Studios,Feral Interactive (Mac/Linux)",2015
3282,1,"Avalanche Studios,Feral Interactive (Mac/Linux)",2015
3283,1,"Avalanche Studios,Feral Interactive (Mac/Linux)",2015
3284,2,"Avalanche Studios,Feral Interactive (Mac/Linux)",2015
3285,2,"Avalanche Studios,Feral Interactive (Mac/Linux)",2015
3620,2,Avidly Wild Games,2014
3598,1,Awesome Games Studio,2014
3599,2,Awesome Games Studio,2014
3600,2,Awesome Games Studio,2014
3601,2,Awesome Games Studio,2014
3602,1,Awesome Games Studio,2014
3603,2,Awesome Games Studio,2014
3604,2,Awesome Games Studio,2014
3605,2,Awesome Games Studio,2014
5000,1,AwesomeBlade,2014
4878,1,Axolot Games,2016
4879,0,Axolot Games,2016
5268,1,Axyos Games,2014
4941,2,BANDAI NAMCO Studio Inc.,2015
4812,2,Baggy Cat Ltd,2015
3355,2,Bankroll Studios,2015
3356,0,Bankroll Studios,2015
3357,2,Bankroll Studios,2015
3358,0,Bankroll Studios,2015
3359,0,Bankroll Studios,2015
4962,2,Bare Mettle Entertainment,2015
2970,2,Beam Team Games,2015
2971,1,Beam Team Games,2015
2972,0,Beam Team Games,2015
2973,0,Beam Team Games,2015
2974,1,Beam Team Games,2015
2975,1,Beam Team Games,2015
5073,1,Beamdog,2013
5035,1,BetaDwarf,2013
3592,2,Bethesda Game Studios,2002
3593,1,Bethesda Game Studios,2002
3594,2,Bethesda Game Studios,2002
4987,2,Bethesda Game Studios,2007
4988,2,Bethesda Game Studios,2007
4989,2,Bethesda Game Studios,2007
5075,0,Bethesda Game Studios,2008
5076,2,Bethesda Game Studios,2008
5077,2,Bethesda Game Studios,2008
3621,2,Bethesda Game Studios,2009
3622,2,Bethesda Game Studios,2009
3623,1,Bethesda Game Studios,2009
3624,2,Bethesda Game Studios,2009
3625,1,Bethesda Game Studios,2009
3626,2,Bethesda Game Studios,2009
2719,2,Bethesda Game Studios,2015
2720,2,Bethesda Game Studios,2015
2721,1,Bethesda Game Studios,2015
2722,1,Bethesda Game Studios,2015
2723,2,Bethesda Game Studios,2015
2724,2,Bethesda Game Studios,2015
2725,0,Bethesda Game Studios,2015
2726,2,Bethesda Game Studios,2015
2727,1,Bethesda Game Studios,2015
2728,0,Bethesda Game Studios,2015
2729,0,Bethesda Game Studios,2015
2730,2,Bethesda Game Studios,2015
2731,0,Bethesda Game Studios,2015
2732,2,Bethesda Game Studios,2015
2733,1,Bethesda Game Studios,2015
2734,1,Bethesda Game Studios,2015
2735,2,Bethesda Game Studios,2015
2736,1,Bethesda Game Studios,2015
4012,2,Bethesda Game Studios,2016
5224,1,Bethesda Game Studios,2016
4333,1,Big Ant Studios,2014
4334,2,Big Ant Studios,2014
4335,1,Big Ant Studios,2014
4013,2,Big Corporation,2016
4014,2,Big Corporation,2016
4957,2,"Big Huge Games,38 Studios",2012
4958,2,"Big Huge Games,38 Studios",2012
3566,1,Big Robot Ltd,2013
3567,1,Big Robot Ltd,2013
3568,1,Big Robot Ltd,2013
3569,2,Big Robot Ltd,2013
3570,2,Big Robot Ltd,2013
4797,2,"Binary Zoo,The Game Creators",2015
3402,2,BioWare,2010
4993,2,BioWare,2010
1755,2,"BioWare,Aspyr (Mac)",2003
1756,0,"BioWare,Aspyr (Mac)",2003
1757,1,"BioWare,Aspyr (Mac)",2003
1758,2,"BioWare,Aspyr (Mac)",2003
1759,2,"BioWare,Aspyr (Mac)",2003
1760,2,"BioWare,Aspyr (Mac)",2003
5203,1,"BitMonster, Inc.",2015
3787,2,Bitbox Ltd.,2015
3788,2,Bitbox Ltd.,2015
3789,0,Bitbox Ltd.,2015
3790,2,Bitbox Ltd.,2015
4505,1,Bithell Games,2012
4506,1,Bithell Games,2012
4507,2,Bithell Games,2012
4830,1,Black Isle Studios,1998
5039,2,Black Pants Studio,2012
4583,2,Blackhole,2011
4715,1,Blacklight Interactive,2016
4716,0,Blacklight Interactive,2016
4717,1,Blacklight Interactive,2016
4718,2,Blacklight Interactive,2016
4309,1,BlankMediaGames,2014
4310,1,BlankMediaGames,2014
4311,2,BlankMediaGames,2014
4312,2,BlankMediaGames,2014
4313,2,BlankMediaGames,2014
4314,2,BlankMediaGames,2014
2603,1,Blazing Griffin,2016
5072,1,Blind Sky Studios,2016
4725,1,BlinkWorks Media,2012
4968,1,Blit Software,2012
4667,2,Bloober Team SA,2016
3619,1,Blue Bottle Games,2014
4805,2,Blue Byte,2013
4183,2,Blue Mammoth Games,2017
4184,2,Blue Mammoth Games,2017
4185,2,Blue Mammoth Games,2017
4186,1,Blue Mammoth Games,2017
4187,2,Blue Mammoth Games,2017
4188,1,Blue Mammoth Games,2017
4189,2,Blue Mammoth Games,2017
4190,2,Blue Mammoth Games,2017
4191,1,Blue Mammoth Games,2017
5147,0,BlueGiant Interactive,2012
3595,2,Bluebutton Games,2014
4080,2,"Bluehole, Inc.",2015
4081,0,"Bluehole, Inc.",2015
4082,2,"Bluehole, Inc.",2015
4083,1,"Bluehole, Inc.",2015
4084,2,"Bluehole, Inc.",2015
4085,2,"Bluehole, Inc.",2015
4086,2,"Bluehole, Inc.",2015
3147,1,Bohemia Interactive,2009
4561,2,Bohemia Interactive,2010
4562,2,Bohemia Interactive,2010
4563,2,Bohemia Interactive,2010
4564,2,Bohemia Interactive,2010
4565,2,Bohemia Interactive,2010
4758,1,Bohemia Interactive,2011
398,1,Bohemia Interactive,2013
399,2,Bohemia Interactive,2013
400,0,Bohemia Interactive,2013
401,2,Bohemia Interactive,2013
402,1,Bohemia Interactive,2013
403,2,Bohemia Interactive,2013
404,1,Bohemia Interactive,2013
405,1,Bohemia Interactive,2013
406,0,Bohemia Interactive,2013
407,2,Bohemia Interactive,2013
408,0,Bohemia Interactive,2013
409,1,Bohemia Interactive,2013
410,0,Bohemia Interactive,2013
411,0,Bohemia Interactive,2013
412,1,Bohemia Interactive,2013
413,2,Bohemia Interactive,2013
414,1,Bohemia Interactive,2013
415,1,Bohemia Interactive,2013
416,2,Bohemia Interactive,2013
417,2,Bohemia Interactive,2013
418,2,Bohemia Interactive,2013
419,1,Bohemia Interactive,2013
420,0,Bohemia Interactive,2013
421,2,Bohemia Interactive,2013
422,1,Bohemia Interactive,2013
423,2,Bohemia Interactive,2013
424,0,Bohemia Interactive,2013
425,2,Bohemia Interactive,2013
426,1,Bohemia Interactive,2013
427,2,Bohemia Interactive,2013
428,2,Bohemia Interactive,2013
429,1,Bohemia Interactive,2013
430,1,Bohemia Interactive,2013
431,2,Bohemia Interactive,2013
432,2,Bohemia Interactive,2013
433,1,Bohemia Interactive,2013
434,2,Bohemia Interactive,2013
435,0,Bohemia Interactive,2013
436,1,Bohemia Interactive,2013
437,1,Bohemia Interactive,2013
438,2,Bohemia Interactive,2013
439,2,Bohemia Interactive,2013
440,1,Bohemia Interactive,2013
441,2,Bohemia Interactive,2013
442,2,Bohemia Interactive,2013
443,2,Bohemia Interactive,2013
444,2,Bohemia Interactive,2013
445,0,Bohemia Interactive,2013
446,2,Bohemia Interactive,2013
447,2,Bohemia Interactive,2013
448,2,Bohemia Interactive,2013
449,0,Bohemia Interactive,2013
450,1,Bohemia Interactive,2013
451,2,Bohemia Interactive,2013
452,1,Bohemia Interactive,2013
453,0,Bohemia Interactive,2013
454,1,Bohemia Interactive,2013
455,2,Bohemia Interactive,2013
456,2,Bohemia Interactive,2013
457,2,Bohemia Interactive,2013
458,2,Bohemia Interactive,2013
459,1,Bohemia Interactive,2013
460,2,Bohemia Interactive,2013
461,2,Bohemia Interactive,2013
462,1,Bohemia Interactive,2013
463,1,Bohemia Interactive,2013
464,1,Bohemia Interactive,2013
465,1,Bohemia Interactive,2013
466,2,Bohemia Interactive,2013
467,1,Bohemia Interactive,2013
468,2,Bohemia Interactive,2013
469,0,Bohemia Interactive,2013
470,1,Bohemia Interactive,2013
471,0,Bohemia Interactive,2013
1616,1,Bohemia Interactive,2013
1617,1,Bohemia Interactive,2013
1618,0,Bohemia Interactive,2013
1619,2,Bohemia Interactive,2013
1620,2,Bohemia Interactive,2013
1621,1,Bohemia Interactive,2013
1622,2,Bohemia Interactive,2013
1623,2,Bohemia Interactive,2013
1624,2,Bohemia Interactive,2013
1625,1,Bohemia Interactive,2013
1626,2,Bohemia Interactive,2013
1627,2,Bohemia Interactive,2013
1628,1,Bohemia Interactive,2013
1629,1,Bohemia Interactive,2013
1630,2,Bohemia Interactive,2013
1631,2,Bohemia Interactive,2013
1632,1,Bohemia Interactive,2013
1633,1,Bohemia Interactive,2013
1634,2,Bohemia Interactive,2013
1635,2,Bohemia Interactive,2013
1636,1,Bohemia Interactive,2013
1637,2,Bohemia Interactive,2013
5211,2,Bohemia Interactive,2013
3704,2,Bohemia Interactive,2016
5246,0,Bombservice,2016
4324,2,Boneloaf,2017
4325,0,Boneloaf,2017
2360,1,Boomzap Entertainment,2016
4528,2,Born Ready Games Ltd.,2013
5151,2,Boss Baddie,2012
4907,1,Bossa Studios,2013
4908,1,Bossa Studios,2013
4909,1,Bossa Studios,2013
4910,2,Bossa Studios,2013
4911,0,Bossa Studios,2013
3735,2,Bossa Studios,2015
5174,1,Brace Yourself Games,2015
4736,2,Brawsome,2010
4534,1,Breakfall,2014
4535,2,Breakfall,2014
5258,1,"Buddy Cops, LLC",2016
3698,2,Bugbear,2014
3699,2,Bugbear,2014
3700,2,Bugbear,2014
3701,0,Bugbear,2014
3702,2,Bugbear,2014
4611,1,Bugbear Entertainment,2008
5179,2,Bulbware,2015
5008,0,BurstRay Games,2015
3911,2,C3SK,2015
4473,2,CAPCOM,2016
4474,1,CAPCOM,2016
5089,1,"CAPCOM Co., Ltd.",2006
4847,1,"CAPCOM Co., Ltd.",2015
5100,2,"CAPCOM Co., Ltd.",2015
5101,2,"CAPCOM Co., Ltd.",2015
5134,2,"CAPCOM Co., Ltd.",2015
3408,2,CD PROJEKT RED,2008
3409,1,CD PROJEKT RED,2008
3410,2,CD PROJEKT RED,2008
3404,2,CD PROJEKT RED,2011
3405,2,CD PROJEKT RED,2011
3406,2,CD PROJEKT RED,2011
3407,2,CD PROJEKT RED,2011
3709,2,CI Games,2013
5060,2,Cadenza Interactive,2010
3275,2,Campo Santo,2016
3276,2,Campo Santo,2016
3277,1,Campo Santo,2016
3278,2,Campo Santo,2016
3279,2,Campo Santo,2016
5083,1,Capcom,2008
4800,1,Capcom,2009
4788,1,Capcom,2013
4789,2,Capcom,2013
4448,2,Capcom,2014
4449,1,Capcom,2014
4450,1,Capcom,2014
4451,0,Capcom,2014
5215,2,Capcom,2014
5216,2,Capcom,2014
5082,1,Capcom,2015
5250,2,Capcom,2015
4780,1,Capcom,2016
4217,2,Capcom Game Studio Vancouver,2014
4218,2,Capcom Game Studio Vancouver,2014
4219,1,Capcom Game Studio Vancouver,2014
4293,2,Capybara Games,2012
4961,2,"Capybara,Superbrothers,Jim Guthrie",2012
5020,2,Carbine Studios,2014
4231,2,Carbon Games,2012
4549,2,Carbon Games,2012
4550,1,Carbon Games,2012
4551,1,Carbon Games,2012
5023,2,Cellar Door Games,2013
5024,1,Cellar Door Games,2013
5025,1,Cellar Door Games,2013
5026,2,Cellar Door Games,2013
4499,2,Cherry Pop Games,2013
4251,2,Choice of Games,2014
4252,2,Choice of Games,2014
4818,1,Choice of Games,2015
1581,0,Chucklefish,2016
1582,1,Chucklefish,2016
1583,2,Chucklefish,2016
1584,1,Chucklefish,2016
1585,2,Chucklefish,2016
1586,1,Chucklefish,2016
1587,2,Chucklefish,2016
1588,1,Chucklefish,2016
1589,2,Chucklefish,2016
1590,1,Chucklefish,2016
1591,0,Chucklefish,2016
1592,2,Chucklefish,2016
1593,2,Chucklefish,2016
1594,0,Chucklefish,2016
1595,0,Chucklefish,2016
1596,1,Chucklefish,2016
1597,2,Chucklefish,2016
1598,1,Chucklefish,2016
1599,2,Chucklefish,2016
1600,2,Chucklefish,2016
1601,2,Chucklefish,2016
1602,1,Chucklefish,2016
1603,1,Chucklefish,2016
1604,2,Chucklefish,2016
1605,2,Chucklefish,2016
1606,2,Chucklefish,2016
1607,2,Chucklefish,2016
1608,1,Chucklefish,2016
1609,1,Chucklefish,2016
1610,2,Chucklefish,2016
1611,0,Chucklefish,2016
1612,0,Chucklefish,2016
1613,1,Chucklefish,2016
1614,2,Chucklefish,2016
1615,2,Chucklefish,2016
4885,0,"Circle Five Studios,Pub Games",2015
4886,1,"Circle Five Studios,Pub Games",2015
5194,0,City Interactive,2010
1026,2,City Interactive,2013
1027,1,City Interactive,2013
1028,1,City Interactive,2013
1029,0,City Interactive,2013
1030,1,City Interactive,2013
1031,1,City Interactive,2013
4368,2,Clickteam,2013
4369,2,Clickteam,2013
4351,2,Climax Studios,2015
3957,2,CoaguCo Industries,2015
4616,2,Cococucumber,2015
3385,2,CodeBrush Games,2014
3386,1,CodeBrush Games,2014
3387,2,CodeBrush Games,2014
2163,0,Codemasters,2014
2164,2,Codemasters,2014
5210,2,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2014
5040,0,Codemasters Studios,2009
4629,2,"Codemasters,Feral Interactive (Linux)",2015
5221,2,"Codemasters,Feral Interactive (Mac)",2016
4341,1,Code}{atch,2015
4342,1,Code}{atch,2015
4343,1,Code}{atch,2015
4344,1,Code}{atch,2015
4345,2,Code}{atch,2015
3657,1,Coffee Stain Studios,2011
3658,2,Coffee Stain Studios,2011
3659,1,Coffee Stain Studios,2011
4018,0,Coffee Stain Studios,2013
4019,2,Coffee Stain Studios,2013
4020,1,Coffee Stain Studios,2013
4021,2,Coffee Stain Studios,2013
5054,2,Coffee Stain Studios,2013
1387,2,Coffee Stain Studios,2014
1388,0,Coffee Stain Studios,2014
1389,0,Coffee Stain Studios,2014
1390,0,Coffee Stain Studios,2014
1391,1,Coffee Stain Studios,2014
1392,1,Coffee Stain Studios,2014
1393,2,Coffee Stain Studios,2014
1394,2,Coffee Stain Studios,2014
1395,1,Coffee Stain Studios,2014
1396,1,Coffee Stain Studios,2014
1397,2,Coffee Stain Studios,2014
1398,2,Coffee Stain Studios,2014
1399,0,Coffee Stain Studios,2014
1400,0,Coffee Stain Studios,2014
1401,2,Coffee Stain Studios,2014
1402,1,Coffee Stain Studios,2014
1403,1,Coffee Stain Studios,2014
1404,2,Coffee Stain Studios,2014
1405,1,Coffee Stain Studios,2014
1406,2,Coffee Stain Studios,2014
1407,1,Coffee Stain Studios,2014
1408,2,Coffee Stain Studios,2014
1409,2,Coffee Stain Studios,2014
1410,1,Coffee Stain Studios,2014
1411,1,Coffee Stain Studios,2014
1412,1,Coffee Stain Studios,2014
1413,2,Coffee Stain Studios,2014
1414,1,Coffee Stain Studios,2014
1415,0,Coffee Stain Studios,2014
1416,1,Coffee Stain Studios,2014
1417,1,Coffee Stain Studios,2014
1418,2,Coffee Stain Studios,2014
4759,2,Cold Beam Games,2010
4760,1,Cold Beam Games,2010
4299,2,Colibri Games,2011
4587,2,Colossal Order Ltd.,2013
3109,1,Colossal Order Ltd.,2015
3110,0,Colossal Order Ltd.,2015
3111,1,Colossal Order Ltd.,2015
3112,2,Colossal Order Ltd.,2015
3113,2,Colossal Order Ltd.,2015
3114,2,Colossal Order Ltd.,2015
3115,2,Colossal Order Ltd.,2015
3116,0,Colossal Order Ltd.,2015
3117,2,Colossal Order Ltd.,2015
5281,2,Colossal Order Ltd.,2016
3105,1,ConcernedApe,2016
3106,1,ConcernedApe,2016
3107,1,ConcernedApe,2016
3108,1,ConcernedApe,2016
5212,2,Convoy Games,2015
5159,1,Counterplay Games Inc.,2016
5053,1,Crackpot Entertainment,2008
4543,1,Crate Entertainment,2016
4544,2,Crate Entertainment,2016
4545,1,Crate Entertainment,2016
4546,2,Crate Entertainment,2016
4547,2,Crate Entertainment,2016
4560,0,Creability,2014
3726,0,Creative Assembly,2013
3727,1,Creative Assembly,2013
3728,2,Creative Assembly,2013
3729,0,Creative Assembly,2013
3730,2,Creative Assembly,2013
3731,0,Creative Assembly,2013
3732,1,Creative Assembly,2013
3733,2,Creative Assembly,2013
4678,0,Creative Assembly,2015
4679,2,Creative Assembly,2015
5202,1,Creative Assembly,2016
4706,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",2016
4707,0,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",2016
4358,0,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2014
4359,0,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2014
4360,2,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2014
4361,2,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2014
4362,2,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2014
1716,2,Criterion Games,2009
1717,1,Criterion Games,2009
1718,2,Criterion Games,2009
1719,2,Criterion Games,2009
4599,2,Criterion Games,2010
4297,1,Critical Studio,2013
5048,2,Croteam,2005
4896,2,Croteam,2014
3741,2,Crows Crows Crows,2015
3742,2,Crows Crows Crows,2015
3743,2,Crows Crows Crows,2015
4553,2,Cryptic Studios,2010
4554,1,Cryptic Studios,2010
4555,2,Cryptic Studios,2010
4556,2,Cryptic Studios,2010
4574,1,Cryptic Studios,2013
4575,0,Cryptic Studios,2013
4576,2,Cryptic Studios,2013
4577,2,Cryptic Studios,2013
5133,1,Crystal Dynamics,2008
380,0,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
381,2,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
382,2,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
383,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
384,2,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
385,2,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
386,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
387,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
388,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
389,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
390,0,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
391,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
392,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
393,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
394,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
395,0,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
396,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
397,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
1349,2,Crytek,2014
1350,1,Crytek,2014
1351,2,Crytek,2014
1352,0,Crytek,2014
1353,0,Crytek,2014
1354,1,Crytek,2014
1355,0,Crytek,2014
1356,1,Crytek,2014
1357,2,Crytek,2014
4954,2,Crytek Studios,2004
2703,1,Crytek Studios,2011
2704,1,Crytek Studios,2011
4332,2,Cyanide Studio,2014
4548,2,Cyanide Studio,2014
4839,2,CyberConnect2 Co. Ltd.,2013
4840,2,CyberConnect2 Co. Ltd.,2013
4841,2,CyberConnect2 Co. Ltd.,2013
3493,2,"CyberConnect2 Co., Ltd.",2014
3494,1,"CyberConnect2 Co., Ltd.",2014
3495,1,"CyberConnect2 Co., Ltd.",2014
3496,1,"CyberConnect2 Co., Ltd.",2014
5015,2,DEVGRU-P,2016
5016,2,DEVGRU-P,2016
1381,2,DICE,2009
1382,0,DICE,2009
1383,2,DICE,2009
1384,1,DICE,2009
1385,2,DICE,2009
4215,2,DICE,2010
4216,0,DICE,2010
5182,1,DIMPS,2015
5233,1,DL Softworks,2015
4539,2,DONTNOD Entertainment,2013
4540,2,DONTNOD Entertainment,2013
2651,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2652,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2653,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2654,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2655,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2656,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2657,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2658,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2659,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2660,2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2661,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2662,1,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
2663,0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
4596,1,Daedalic Entertainment,2012
4872,1,Dan Fornace,2017
4873,2,Dan Fornace,2017
2455,2,Dancing Dragon Games,2014
5097,2,Daniel Davies,2015
4584,1,Dark Energy Digital Ltd.,2011
5055,2,DarkElite,2014
5149,0,Data Realms,2012
4917,0,David OReilly,2014
4918,0,David OReilly,2014
4919,0,David OReilly,2014
4920,2,David OReilly,2014
