,genres,user_id,user_url,playtime_forever,rank
1690,Action,corhodzic,http://steamcommunity.com/id/corhodzic,179649,113
1445,Action,ShureddoWeaboo,http://steamcommunity.com/id/ShureddoWeaboo,178630,114
1719,Action,deathtotraitors777,http://steamcommunity.com/id/deathtotraitors777,178521,115
1267,Action,K33mstar,http://steamcommunity.com/id/K33mstar,178192,116
133,Action,76561198024527983,http://steamcommunity.com/profiles/76561198024527983,176586,117
1430,Action,SalmonToastie,http://steamcommunity.com/id/SalmonToastie,175801,118
1780,Action,galahz,http://steamcommunity.com/id/galahz,175185,119
722,Action,76561198081938549,http://steamcommunity.com/profiles/76561198081938549,174521,120
1521,Action,ThisMexicunt,http://steamcommunity.com/id/ThisMexicunt,173957,121
1897,Action,krystal1,http://steamcommunity.com/id/krystal1,172302,122
1214,Action,GummyOS,http://steamcommunity.com/id/GummyOS,172237,123
1707,Action,damo4lyf,http://steamcommunity.com/id/damo4lyf,172160,124
537,Action,76561198070102633,http://steamcommunity.com/profiles/76561198070102633,172112,125
1610,Action,australianturtlelover,http://steamcommunity.com/id/australianturtlelover,171453,126
2009,Action,oldmanjingles,http://steamcommunity.com/id/oldmanjingles,170919,127
1509,Action,TheRedColonel,http://steamcommunity.com/id/TheRedColonel,170807,128
709,Action,76561198080980901,http://steamcommunity.com/profiles/76561198080980901,170675,129
169,Action,76561198035146378,http://steamcommunity.com/profiles/76561198035146378,170481,130
298,Action,76561198049524520,http://steamcommunity.com/profiles/76561198049524520,170451,131
1412,Action,Redoxide,http://steamcommunity.com/id/Redoxide,170110,132
110,Action,76561198015848819,http://steamcommunity.com/profiles/76561198015848819,170072,133
151,Action,76561198030475957,http://steamcommunity.com/profiles/76561198030475957,167511,134
1398,Action,PutoelqueLeeXD,http://steamcommunity.com/id/PutoelqueLeeXD,166837,135
1926,Action,lurchibald,http://steamcommunity.com/id/lurchibald,166371,136
1359,Action,NinjaJamaicano,http://steamcommunity.com/id/NinjaJamaicano,165337,137
2145,Action,tazzudevil,http://steamcommunity.com/id/tazzudevil,164710,138
636,Action,76561198076039282,http://steamcommunity.com/profiles/76561198076039282,164531,139
1835,Action,iampro554433,http://steamcommunity.com/id/iampro554433,164269,140
1889,Action,kierensimpson,http://steamcommunity.com/id/kierensimpson,164256,141
582,Action,76561198072436582,http://steamcommunity.com/profiles/76561198072436582,163367,142
1761,Action,fieryclockwork,http://steamcommunity.com/id/fieryclockwork,163339,143
68,Action,76561197991787618,http://steamcommunity.com/profiles/76561197991787618,163036,144
2134,Action,styletypes,http://steamcommunity.com/id/styletypes,162850,145
11,Action,12391939123,http://steamcommunity.com/id/12391939123,162720,146
10,Action,1234567io9872345678765432,http://steamcommunity.com/id/1234567io9872345678765432,162493,147
352,Action,76561198055330941,http://steamcommunity.com/profiles/76561198055330941,162151,148
505,Action,76561198068174077,http://steamcommunity.com/profiles/76561198068174077,161671,149
417,Action,76561198061375427,http://steamcommunity.com/profiles/76561198061375427,161415,150
1585,Action,adamkupou,http://steamcommunity.com/id/adamkupou,160883,151
1975,Action,n3rdra93,http://steamcommunity.com/id/n3rdra93,160663,152
1669,Action,ccmmpp,http://steamcommunity.com/id/ccmmpp,160164,153
1156,Action,DoomsDay39,http://steamcommunity.com/id/DoomsDay39,160059,154
2226,Action,xingxing000,http://steamcommunity.com/id/xingxing000,159758,155
1094,Action,Br0wni3,http://steamcommunity.com/id/Br0wni3,159735,156
2028,Action,pizzadude04,http://steamcommunity.com/id/pizzadude04,159071,157
1833,Action,iAlyxan,http://steamcommunity.com/id/iAlyxan,158389,158
1183,Action,FUARFUARFUAR,http://steamcommunity.com/id/FUARFUARFUAR,158095,159
1427,Action,SN1P3R061099,http://steamcommunity.com/id/SN1P3R061099,157901,160
432,Action,76561198062425854,http://steamcommunity.com/profiles/76561198062425854,156744,161
1322,Action,Meatman1151,http://steamcommunity.com/id/Meatman1151,156402,162
1219,Action,Halistrogue,http://steamcommunity.com/id/Halistrogue,155667,163
1408,Action,Reagan3211,http://steamcommunity.com/id/Reagan3211,155582,164
50,Action,76561197966979423,http://steamcommunity.com/profiles/76561197966979423,155523,165
1778,Action,fukdat,http://steamcommunity.com/id/fukdat,154187,166
1559,Action,Woluf,http://steamcommunity.com/id/Woluf,153917,167
1944,Action,mda7,http://steamcommunity.com/id/mda7,153718,168
1528,Action,TomWays,http://steamcommunity.com/id/TomWays,152704,169
1207,Action,GenocideDecade,http://steamcommunity.com/id/GenocideDecade,152453,170
449,Action,76561198064152834,http://steamcommunity.com/profiles/76561198064152834,151995,171
1470,Action,SuddenNight,http://steamcommunity.com/id/SuddenNight,151933,172
318,Action,76561198050822800,http://steamcommunity.com/profiles/76561198050822800,151729,173
1482,Action,TeH-B-Rad,http://steamcommunity.com/id/TeH-B-Rad,151430,174
428,Action,76561198062092163,http://steamcommunity.com/profiles/76561198062092163,151365,175
1163,Action,Dysloyal,http://steamcommunity.com/id/Dysloyal,150316,176
694,Action,76561198080354888,http://steamcommunity.com/profiles/76561198080354888,149583,177
1115,Action,CoNnEcT500BR,http://steamcommunity.com/id/CoNnEcT500BR,149365,178
339,Action,76561198053408417,http://steamcommunity.com/profiles/76561198053408417,149182,179
1148,Action,Derp-e,http://steamcommunity.com/id/Derp-e,148661,180
113,Action,76561198016610271,http://steamcommunity.com/profiles/76561198016610271,148618,181
1085,Action,BecauseImSAD,http://steamcommunity.com/id/BecauseImSAD,148478,182
1479,Action,Symbolize,http://steamcommunity.com/id/Symbolize,148477,183
1744,Action,elektro_haus,http://steamcommunity.com/id/elektro_haus,148449,184
170,Action,76561198035363871,http://steamcommunity.com/profiles/76561198035363871,148305,185
1127,Action,DDSHADOW77,http://steamcommunity.com/id/DDSHADOW77,148204,186
1940,Action,matthewalejandro,http://steamcommunity.com/id/matthewalejandro,147968,187
1091,Action,BlueYuY,http://steamcommunity.com/id/BlueYuY,147910,188
1681,Action,cloneninjalol,http://steamcommunity.com/id/cloneninjalol,147709,189
623,Action,76561198074831889,http://steamcommunity.com/profiles/76561198074831889,147648,190
993,Action,76561198129265482,http://steamcommunity.com/profiles/76561198129265482,146963,191
83,Action,76561198001296435,http://steamcommunity.com/profiles/76561198001296435,146875,192
145,Action,76561198027517385,http://steamcommunity.com/profiles/76561198027517385,146093,193
293,Action,76561198048246554,http://steamcommunity.com/profiles/76561198048246554,145915,194
992,Action,76561198129138319,http://steamcommunity.com/profiles/76561198129138319,145888,195
1039,Action,AFatDwarf,http://steamcommunity.com/id/AFatDwarf,145815,196
1781,Action,gamername13,http://steamcommunity.com/id/gamername13,144732,197
1671,Action,chinnap4t,http://steamcommunity.com/id/chinnap4t,144241,198
2041,Action,puddingtip,http://steamcommunity.com/id/puddingtip,144088,199
2097,Action,sidtheangrygamer,http://steamcommunity.com/id/sidtheangrygamer,143753,200
278,Action,76561198047185717,http://steamcommunity.com/profiles/76561198047185717,143574,201
2135,Action,suckguy12,http://steamcommunity.com/id/suckguy12,143381,202
1330,Action,MilfHunterXFuckTightTeenPussy,http://steamcommunity.com/id/MilfHunterXFuckTightTeenPussy,143175,203
1516,Action,The_Eyepatch,http://steamcommunity.com/id/The_Eyepatch,143002,204
648,Action,76561198076770532,http://steamcommunity.com/profiles/76561198076770532,142955,205
1531,Action,TooManyDankMemes,http://steamcommunity.com/id/TooManyDankMemes,142336,206
2236,Action,yozaseigfuckcriprep,http://steamcommunity.com/id/yozaseigfuckcriprep,141925,207
1404,Action,RaikoSurik,http://steamcommunity.com/id/RaikoSurik,141862,208
174,Action,76561198036292321,http://steamcommunity.com/profiles/76561198036292321,141809,209
1916,Action,llxUnknownxll,http://steamcommunity.com/id/llxUnknownxll,141567,210
1803,Action,gunman0007,http://steamcommunity.com/id/gunman0007,140647,211
1365,Action,NocturnalPotato,http://steamcommunity.com/id/NocturnalPotato,140304,212
1650,Action,breadedaustralia,http://steamcommunity.com/id/breadedaustralia,140277,213
1158,Action,Doweis,http://steamcommunity.com/id/Doweis,140266,214
580,Action,76561198072378985,http://steamcommunity.com/profiles/76561198072378985,140131,215
1215,Action,H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,139874,216
20,Action,1snap,http://steamcommunity.com/id/1snap,139787,217
1820,Action,highpr,http://steamcommunity.com/id/highpr,139773,218
2137,Action,superyoshiegg,http://steamcommunity.com/id/superyoshiegg,139460,219
2169,Action,tomas13a,http://steamcommunity.com/id/tomas13a,139395,220
1451,Action,Spekl,http://steamcommunity.com/id/Spekl,139353,221
157,Action,76561198032269949,http://steamcommunity.com/profiles/76561198032269949,139271,222
1689,Action,coreyr92,http://steamcommunity.com/id/coreyr92,139220,223
3,Action,00454211432342,http://steamcommunity.com/id/00454211432342,138439,224
279,Action,76561198047232925,http://steamcommunity.com/profiles/76561198047232925,138133,225
674,Action,76561198078863833,http://steamcommunity.com/profiles/76561198078863833,138120,226
795,Action,76561198088568935,http://steamcommunity.com/profiles/76561198088568935,137992,227
1738,Action,eamonflame,http://steamcommunity.com/id/eamonflame,137988,228
187,Action,76561198037509696,http://steamcommunity.com/profiles/76561198037509696,137889,229
2183,Action,ultrabrightgaming,http://steamcommunity.com/id/ultrabrightgaming,137683,230
1440,Action,ShakEnBakE,http://steamcommunity.com/id/ShakEnBakE,137673,231
47,Action,71251241,http://steamcommunity.com/id/71251241,137371,232
290,Action,76561198047991989,http://steamcommunity.com/profiles/76561198047991989,137320,233
964,Action,76561198112547239,http://steamcommunity.com/profiles/76561198112547239,137253,234
1358,Action,NecroTed,http://steamcommunity.com/id/NecroTed,137211,235
487,Action,76561198066669759,http://steamcommunity.com/profiles/76561198066669759,137161,236
1057,Action,Alpha_m0use,http://steamcommunity.com/id/Alpha_m0use,136774,237
585,Action,76561198072559414,http://steamcommunity.com/profiles/76561198072559414,136649,238
172,Action,76561198035871783,http://steamcommunity.com/profiles/76561198035871783,136465,239
1446,Action,Siilan,http://steamcommunity.com/id/Siilan,136078,240
2084,Action,sgtkitty,http://steamcommunity.com/id/sgtkitty,135616,241
1345,Action,MrSir01,http://steamcommunity.com/id/MrSir01,135514,242
1959,Action,modsmaps,http://steamcommunity.com/id/modsmaps,134924,243
991,Action,76561198128996717,http://steamcommunity.com/profiles/76561198128996717,134659,244
566,Action,76561198071717735,http://steamcommunity.com/profiles/76561198071717735,134632,245
59,Action,76561197977922960,http://steamcommunity.com/profiles/76561197977922960,134559,246
214,Action,76561198042212007,http://steamcommunity.com/profiles/76561198042212007,134428,247
485,Action,76561198066582571,http://steamcommunity.com/profiles/76561198066582571,134210,248
1260,Action,Jnmbl,http://steamcommunity.com/id/Jnmbl,133870,249
1821,Action,hinorei,http://steamcommunity.com/id/hinorei,133569,250
98,Action,76561198011714432,http://steamcommunity.com/profiles/76561198011714432,133414,251
208,Action,76561198041628266,http://steamcommunity.com/profiles/76561198041628266,133268,252
891,Action,76561198096683619,http://steamcommunity.com/profiles/76561198096683619,132782,253
1791,Action,gillinator,http://steamcommunity.com/id/gillinator,132742,254
1179,Action,Etoka,http://steamcommunity.com/id/Etoka,132690,255
70,Action,76561197993494010,http://steamcommunity.com/profiles/76561197993494010,132482,256
696,Action,76561198080399577,http://steamcommunity.com/profiles/76561198080399577,132482,257
2107,Action,slartiblarghfast,http://steamcommunity.com/id/slartiblarghfast,132460,258
426,Action,76561198062002959,http://steamcommunity.com/profiles/76561198062002959,132262,259
84,Action,76561198001836842,http://steamcommunity.com/profiles/76561198001836842,132171,260
183,Action,76561198036921706,http://steamcommunity.com/profiles/76561198036921706,132166,261
34,Action,37755753,http://steamcommunity.com/id/37755753,131990,262
1165,Action,ELBIRDO,http://steamcommunity.com/id/ELBIRDO,131312,263
1792,Action,giveyouagoodlink,http://steamcommunity.com/id/giveyouagoodlink,131148,264
1432,Action,Sansomar,http://steamcommunity.com/id/Sansomar,130796,265
2142,Action,talksmackgetwhacked,http://steamcommunity.com/id/talksmackgetwhacked,130690,266
1554,Action,Wesmi,http://steamcommunity.com/id/Wesmi,130589,267
1329,Action,Mikinmash,http://steamcommunity.com/id/Mikinmash,130396,268
8,Action,12223536,http://steamcommunity.com/id/12223536,130248,269
107,Action,76561198013939867,http://steamcommunity.com/profiles/76561198013939867,129934,270
560,Action,76561198071162228,http://steamcommunity.com/profiles/76561198071162228,129859,271
1917,Action,lobsinus,http://steamcommunity.com/id/lobsinus,129824,272
99,Action,76561198011923340,http://steamcommunity.com/profiles/76561198011923340,129500,273
2158,Action,theonethatrapes,http://steamcommunity.com/id/theonethatrapes,129386,274
186,Action,76561198037463290,http://steamcommunity.com/profiles/76561198037463290,129225,275
250,Action,76561198045155762,http://steamcommunity.com/profiles/76561198045155762,128963,276
16,Action,17101710,http://steamcommunity.com/id/17101710,128878,277
1114,Action,Chinnigan,http://steamcommunity.com/id/Chinnigan,128678,278
1523,Action,TimeForTriggy,http://steamcommunity.com/id/TimeForTriggy,128642,279
1145,Action,Delphaeus,http://steamcommunity.com/id/Delphaeus,128386,280
1589,Action,agret,http://steamcommunity.com/id/agret,127708,281
1683,Action,coil71,http://steamcommunity.com/id/coil71,127544,282
1863,Action,jj_teh_jetplane,http://steamcommunity.com/id/jj_teh_jetplane,127368,283
2013,Action,orikulax,http://steamcommunity.com/id/orikulax,127232,284
443,Action,76561198063488070,http://steamcommunity.com/profiles/76561198063488070,127053,285
1575,Action,Yugm,http://steamcommunity.com/id/Yugm,126711,286
104,Action,76561198012943559,http://steamcommunity.com/profiles/76561198012943559,126315,287
1321,Action,McLovinOFFICIAL,http://steamcommunity.com/id/McLovinOFFICIAL,126117,288
1376,Action,Outsider,http://steamcommunity.com/id/Outsider,125829,289
74,Action,76561197995322437,http://steamcommunity.com/profiles/76561197995322437,125803,290
1109,Action,Casper11243,http://steamcommunity.com/id/Casper11243,125511,291
1537,Action,Turk101,http://steamcommunity.com/id/Turk101,125328,292
1162,Action,Dyllz,http://steamcommunity.com/id/Dyllz,125251,293
1262,Action,JoeyThreeBalls,http://steamcommunity.com/id/JoeyThreeBalls,124884,294
2017,Action,pandabear6921,http://steamcommunity.com/id/pandabear6921,124753,295
2006,Action,officialAlex3y,http://steamcommunity.com/id/officialAlex3y,124625,296
71,Action,76561197993494697,http://steamcommunity.com/profiles/76561197993494697,124604,297
370,Action,76561198057592145,http://steamcommunity.com/profiles/76561198057592145,124528,298
257,Action,76561198045536474,http://steamcommunity.com/profiles/76561198045536474,124348,299
1562,Action,WudUTacoBell,http://steamcommunity.com/id/WudUTacoBell,124293,300
2065,Action,ryanchuabacon,http://steamcommunity.com/id/ryanchuabacon,124242,301
291,Action,76561198048133739,http://steamcommunity.com/profiles/76561198048133739,123889,302
793,Action,76561198088045830,http://steamcommunity.com/profiles/76561198088045830,123751,303
119,Action,76561198018577288,http://steamcommunity.com/profiles/76561198018577288,123653,304
2081,Action,sergarino,http://steamcommunity.com/id/sergarino,123559,305
1814,Action,heyhenry,http://steamcommunity.com/id/heyhenry,123533,306
1797,Action,gonzobear,http://steamcommunity.com/id/gonzobear,123478,307
15,Action,15934,http://steamcommunity.com/id/15934,123214,308
242,Action,76561198044557792,http://steamcommunity.com/profiles/76561198044557792,123078,309
330,Action,76561198052090943,http://steamcommunity.com/profiles/76561198052090943,122971,310
1382,Action,PenguinAKandreas,http://steamcommunity.com/id/PenguinAKandreas,122924,311
400,Action,76561198060236453,http://steamcommunity.com/profiles/76561198060236453,122708,312
1211,Action,GoodOlDick,http://steamcommunity.com/id/GoodOlDick,122459,313
1439,Action,ShadowExtreme,http://steamcommunity.com/id/ShadowExtreme,122199,314
35,Action,404ok4561687987879847,http://steamcommunity.com/id/404ok4561687987879847,122175,315
1703,Action,cyroblade,http://steamcommunity.com/id/cyroblade,122171,316
675,Action,76561198078909556,http://steamcommunity.com/profiles/76561198078909556,121866,317
2074,Action,sbenji,http://steamcommunity.com/id/sbenji,121037,318
341,Action,76561198053963927,http://steamcommunity.com/profiles/76561198053963927,121025,319
1459,Action,Stalkmemuch,http://steamcommunity.com/id/Stalkmemuch,120808,320
17,Action,171516,http://steamcommunity.com/id/171516,120766,321
266,Action,76561198045926585,http://steamcommunity.com/profiles/76561198045926585,120585,322
1205,Action,GalihRQ,http://steamcommunity.com/id/GalihRQ,120552,323
1417,Action,RiplashCSGO,http://steamcommunity.com/id/RiplashCSGO,120513,324
1347,Action,Murix,http://steamcommunity.com/id/Murix,120480,325
1801,Action,grim1928,http://steamcommunity.com/id/grim1928,120286,326
1147,Action,Derkness,http://steamcommunity.com/id/Derkness,120085,327
453,Action,76561198064553245,http://steamcommunity.com/profiles/76561198064553245,119844,328
2207,Action,whostoledandan,http://steamcommunity.com/id/whostoledandan,119743,329
1455,Action,Sporial-Oriiius-Umbria,http://steamcommunity.com/id/Sporial-Oriiius-Umbria,119707,330
1289,Action,L_DiCaprio,http://steamcommunity.com/id/L_DiCaprio,119565,331
460,Action,76561198064983179,http://steamcommunity.com/profiles/76561198064983179,119403,332
430,Action,76561198062147736,http://steamcommunity.com/profiles/76561198062147736,119350,333
1656,Action,brocky0405,http://steamcommunity.com/id/brocky0405,119309,334
1941,Action,maxpaynepillkiller,http://steamcommunity.com/id/maxpaynepillkiller,119240,335
2103,Action,sketchyboy,http://steamcommunity.com/id/sketchyboy,119037,336
1865,Action,joaoflavio,http://steamcommunity.com/id/joaoflavio,119024,337
31,Action,3523436346,http://steamcommunity.com/id/3523436346,118834,338
331,Action,76561198052117413,http://steamcommunity.com/profiles/76561198052117413,118780,339
57,Action,76561197975867686,http://steamcommunity.com/profiles/76561197975867686,118574,340
1774,Action,freehats,http://steamcommunity.com/id/freehats,118523,341
730,Action,76561198082567207,http://steamcommunity.com/profiles/76561198082567207,118509,342
1195,Action,Friendler,http://steamcommunity.com/id/Friendler,118168,343
1110,Action,CatKawaii,http://steamcommunity.com/id/CatKawaii,117919,344
1042,Action,ANzHawkZ,http://steamcommunity.com/id/ANzHawkZ,117859,345
1151,Action,DisturbedDope23,http://steamcommunity.com/id/DisturbedDope23,117508,346
1288,Action,LTHW,http://steamcommunity.com/id/LTHW,117469,347
414,Action,76561198061057790,http://steamcommunity.com/profiles/76561198061057790,117188,348
1724,Action,dickrambo,http://steamcommunity.com/id/dickrambo,117094,349
1885,Action,keane_ck,http://steamcommunity.com/id/keane_ck,117013,350
1275,Action,KerrisB,http://steamcommunity.com/id/KerrisB,116618,351
1093,Action,BoyangBao,http://steamcommunity.com/id/BoyangBao,116485,352
77,Action,76561197996576526,http://steamcommunity.com/profiles/76561197996576526,116387,353
481,Action,76561198066299320,http://steamcommunity.com/profiles/76561198066299320,116383,354
1668,Action,cbfguy,http://steamcommunity.com/id/cbfguy,116153,355
1221,Action,Hamticipation,http://steamcommunity.com/id/Hamticipation,115644,356
1000,Action,76561198136842952,http://steamcommunity.com/profiles/76561198136842952,115507,357
935,Action,76561198103211891,http://steamcommunity.com/profiles/76561198103211891,115264,358
2123,Action,squiddude,http://steamcommunity.com/id/squiddude,115014,359
1716,Action,deandri,http://steamcommunity.com/id/deandri,115003,360
1817,Action,hhaz,http://steamcommunity.com/id/hhaz,114929,361
542,Action,76561198070340430,http://steamcommunity.com/profiles/76561198070340430,114861,362
41,Action,6592,http://steamcommunity.com/id/6592,114792,363
