index,title,url,price
28456,Rocksmith® 2014 – Deep Purple - “Highway Star”,http://store.steampowered.com/app/294932/Rocksmith_2014__Deep_Purple__Highway_Star/,2.99
23885,ASCII Attack Soundtrack,http://store.steampowered.com/app/454010/ASCII_Attack_Soundtrack/,0.99
8164,Remembering Pearl Harbor,http://store.steampowered.com/app/520350/Remembering_Pearl_Harbor/,2.0
5172,The Fall of the Dungeon Guardians OST,http://store.steampowered.com/app/435450/The_Fall_of_the_Dungeon_Guardians_OST/,Free to Play
3283,HIS - [P-38J] Lightning R.Bong Pack,http://store.steampowered.com/app/352680/HIS__P38J_Lightning_RBong_Pack/,64.99
19165,Darwin's Demons,http://store.steampowered.com/app/572020/Darwins_Demons/,4.99
880,The Sims™ 3 Showtime,http://store.steampowered.com/app/47932/The_Sims_3_Showtime/,19.99
13682,Hunter of antiques,http://store.steampowered.com/app/745060/Hunter_of_antiques/,9.99
10611,Fate/EXTELLA - Mysterious Heroine Outfit,http://store.steampowered.com/app/626521/FateEXTELLA__Mysterious_Heroine_Outfit/,1.99
28888,Pajama Sam's Lost &amp; Found,http://store.steampowered.com/app/292860/Pajama_Sams_Lost__Found/,4.99
16909,Abducted Soundtrack,http://store.steampowered.com/app/383490/Abducted_Soundtrack/,4.99
2150,Lili: Child of Geos - Complete Edition,http://store.steampowered.com/app/266490/Lili_Child_of_Geos__Complete_Edition/,14.99
6919,Fantasy Grounds - Darkwoulfe's Token Pack Volume 13,http://store.steampowered.com/app/510450/Fantasy_Grounds__Darkwoulfes_Token_Pack_Volume_13/,4.99
9981,Lamp Head,http://store.steampowered.com/app/603030/Lamp_Head/,1.99
27146,X-Plane 10 AddOn - Carenado - C340 II,http://store.steampowered.com/app/339384/XPlane_10_AddOn__Carenado__C340_II/,29.99
26405,Chicken Invaders 3 - Christmas Edition,http://store.steampowered.com/app/378620/Chicken_Invaders_3__Christmas_Edition/,2.99
26228,Warriors &amp; Castles,http://store.steampowered.com/app/372380/Warriors__Castles/,2.99
16093,Aliens X,http://store.steampowered.com/app/685230/Aliens_X/,3.99
1764,9.03m,http://store.steampowered.com/app/263100/903m/,0.99
3305,Spellbind,http://store.steampowered.com/app/353600/Spellbind/,9.99
30636,Rocksmith - Lynyrd Skynyrd - Free Bird,http://store.steampowered.com/app/206092/Rocksmith__Lynyrd_Skynyrd__Free_Bird/,2.99
7881,Night Forest,http://store.steampowered.com/app/528080/Night_Forest/,1.99
25741,LISA the Joyful,http://store.steampowered.com/app/379310/LISA_the_Joyful/,4.99
10496,The Slimeking's Tower,http://store.steampowered.com/app/458660/The_Slimekings_Tower/,6.99
5494,That Dam Level redux,http://store.steampowered.com/app/434970/That_Dam_Level_redux/,8.99
4405,I Can't Escape: Darkness,http://store.steampowered.com/app/346090/I_Cant_Escape_Darkness/,11.99
18668,The Tenth Line - Digital Art Book + Soundtrack,http://store.steampowered.com/app/577030/The_Tenth_Line__Digital_Art_Book__Soundtrack/,4.99
10528,Hack Time,http://store.steampowered.com/app/526450/Hack_Time/,4.99
940,Sanctum: Yogscave (Free DLC),http://store.steampowered.com/app/91609/Sanctum_Yogscave_Free_DLC/,Cooming Soon
9336,Basketball Court VR,http://store.steampowered.com/app/498370/Basketball_Court_VR/,0.99
25314,The Body Changer,http://store.steampowered.com/app/324390/The_Body_Changer/,19.99
17965,NEXT JUMP: Shmup Tactics,http://store.steampowered.com/app/624690/NEXT_JUMP_Shmup_Tactics/,4.99
24902,The Consuming Shadow,http://store.steampowered.com/app/403830/The_Consuming_Shadow/,9.99
17349,Passpartout: The Starving Artist,http://store.steampowered.com/app/582550/Passpartout_The_Starving_Artist/,9.99
30782,Gotham City Impostors Free to Play: Gadget Pack - Starter,http://store.steampowered.com/app/216436/Gotham_City_Impostors_Free_to_Play_Gadget_Pack__Starter/,1.99
15029,UNDERGROUND CLUB 2018,http://store.steampowered.com/app/710640/UNDERGROUND_CLUB_2018/,7.99
29555,DCS: Flaming Cliffs 3,http://store.steampowered.com/app/249320/DCS_Flaming_Cliffs_3/,39.99
16238,VR Table Sports,http://store.steampowered.com/app/678200/VR_Table_Sports/,7.99
14987,Heliborne - Exclusive Camouflage Pack,http://store.steampowered.com/app/729760/Heliborne__Exclusive_Camouflage_Pack/,3.99
31650,STAR WARS™ Starfighter™,http://store.steampowered.com/app/32350/STAR_WARS_Starfighter/,5.99
5377,Pro Basketball Manager 2016 - US Edition,http://store.steampowered.com/app/412560/Pro_Basketball_Manager_2016__US_Edition/,9.99
7539,Help Me Doctor,http://store.steampowered.com/app/538560/Help_Me_Doctor/,2.99
1285,A Valley Without Wind 2,http://store.steampowered.com/app/228320/A_Valley_Without_Wind_2/,14.99
4885,ReVen: XBridge Soundtrack,http://store.steampowered.com/app/425100/ReVen_XBridge_Soundtrack/,4.99
4084,MANOS,http://store.steampowered.com/app/350780/MANOS/,2.99
3933,TAKEN,http://store.steampowered.com/app/359160/TAKEN/,1.99
26935,Rocksmith® 2014 – Lit - “My Own Worst Enemy”,http://store.steampowered.com/app/342817/Rocksmith_2014__Lit__My_Own_Worst_Enemy/,2.99
18898,Fantasy Grounds - In Search of the Trollslayer (BRP),http://store.steampowered.com/app/599860/Fantasy_Grounds__In_Search_of_the_Trollslayer_BRP/,9.99
21814,Livelock,http://store.steampowered.com/app/251230/Livelock/,9.99
32078,War Builder League,http://store.steampowered.com/app/716800/War_Builder_League/,Cooming Soon
32031,Uplink,http://store.steampowered.com/app/1510/Uplink/,9.99
1847,Magic 2014 “Hunting Season” Deck Key,http://store.steampowered.com/app/215913/Magic_2014_Hunting_Season_Deck_Key/,0.99
31792,Tom Clancy's Ghost Recon® Island Thunder™,http://store.steampowered.com/app/13630/Tom_Clancys_Ghost_Recon_Island_Thunder/,4.99
7300,Escape Station,http://store.steampowered.com/app/527360/Escape_Station/,6.99
5251,Crash Landing,http://store.steampowered.com/app/433120/Crash_Landing/,9.99
11644,The Elder Scrolls V: Skyrim Special Edition - Creation Club,http://store.steampowered.com/app/598120/The_Elder_Scrolls_V_Skyrim_Special_Edition__Creation_Club/,Cooming Soon
24980,OMSI 2 Add-on Vienna 2 - Line 23A,http://store.steampowered.com/app/345681/OMSI_2_Addon_Vienna_2__Line_23A/,29.99
10056,Crush,http://store.steampowered.com/app/588880/Crush/,11.99
30602,Sniper Elite V2 - The Landwehr Canal Pack,http://store.steampowered.com/app/63399/Sniper_Elite_V2__The_Landwehr_Canal_Pack/,4.99
3881,Soccer Pinball Thrills,http://store.steampowered.com/app/373820/Soccer_Pinball_Thrills/,3.99
9785,RUMP! - It's a Jump and Rump!,http://store.steampowered.com/app/348160/RUMP__Its_a_Jump_and_Rump/,9.99
15834,Fantasy Grounds - Feats of Legend: 20 Story Feats (PFRPG),http://store.steampowered.com/app/710040/Fantasy_Grounds__Feats_of_Legend_20_Story_Feats_PFRPG/,1.99
27840,Skilltree Saga,http://store.steampowered.com/app/315320/Skilltree_Saga/,9.99
14357,Text Wormhole,http://store.steampowered.com/app/708260/Text_Wormhole/,0.99
3496,The Undying Plague,http://store.steampowered.com/app/349440/The_Undying_Plague/,0.99
19055,Eddie Pepitone: In Ruins,http://store.steampowered.com/app/597300/Eddie_Pepitone_In_Ruins/,3.99
13857,Knife Battles,http://store.steampowered.com/app/731640/Knife_Battles/,5.99
4918,Galactic Civilizations III - Precursor Worlds DLC,http://store.steampowered.com/app/420030/Galactic_Civilizations_III__Precursor_Worlds_DLC/,3.99
16461,Supreme Ruler The Great War,http://store.steampowered.com/app/600280/Supreme_Ruler_The_Great_War/,19.99
2755,Rocksmith® 2014 – Autograph - “Turn Up The Radio”,http://store.steampowered.com/app/295032/Rocksmith_2014__Autograph__Turn_Up_The_Radio/,2.99
28616,Rise of Flight: Intrepid Flyers,http://store.steampowered.com/app/315560/Rise_of_Flight_Intrepid_Flyers/,14.99
22147,Batman - The Telltale Series,http://store.steampowered.com/app/498240/Batman__The_Telltale_Series/,24.99
11253,"Hide and Seek - Glowing ""Ninja Master"" Mask",http://store.steampowered.com/app/693635/Hide_and_Seek__Glowing_Ninja_Master_Mask/,3.99
6091,UTOPIA 9 - A Volatile Vacation,http://store.steampowered.com/app/405000/UTOPIA_9__A_Volatile_Vacation/,11.99
9776,Die With Glory,http://store.steampowered.com/app/551050/Die_With_Glory/,5.99
13556,Fantasy Grounds - Mountain Top Castle Map Pack by Joshua Watmough (Map Pack),http://store.steampowered.com/app/764270/Fantasy_Grounds__Mountain_Top_Castle_Map_Pack_by_Joshua_Watmough_Map_Pack/,6.99
27680,ルナティックドーン レジェンドパック,http://store.steampowered.com/app/338070/_/,34.99
13333,Gnomes Garden New home,http://store.steampowered.com/app/686520/Gnomes_Garden_New_home/,4.99
29093,Putt-Putt® Goes to the Moon,http://store.steampowered.com/app/294650/PuttPutt_Goes_to_the_Moon/,6.99
31150,Might &amp; Magic: Clash of Heroes - I Am the Boss DLC,http://store.steampowered.com/app/61710/Might__Magic_Clash_of_Heroes__I_Am_the_Boss_DLC/,2.99
476,Chime,http://store.steampowered.com/app/62100/Chime/,4.99
8537,Watch_Dogs® 2 - T-Bone Pack,http://store.steampowered.com/app/525000/Watch_Dogs_2__TBone_Pack/,6.99
14132,Captain vs Sky Pirates - Forest,http://store.steampowered.com/app/754070/Captain_vs_Sky_Pirates__Forest/,0.99
5959,Big Pharma: Marketing and Malpractice,http://store.steampowered.com/app/458640/Big_Pharma_Marketing_and_Malpractice/,5.99
23151,Gods of Egypt,http://store.steampowered.com/app/427330/Gods_of_Egypt/,3.99
22248,Savana,http://store.steampowered.com/app/494970/Savana/,14.99
16068,Cat vs. Corgis,http://store.steampowered.com/app/687610/Cat_vs_Corgis/,6.99
31261,Portal 2 - The Final Hours,http://store.steampowered.com/app/104600/Portal_2__The_Final_Hours/,1.99
16946,Void Wisp,http://store.steampowered.com/app/664110/Void_Wisp/,3.99
17060,Flagsplosion,http://store.steampowered.com/app/652340/Flagsplosion/,2.99
6812,Riders of Icarus Adventurer Package Plus,http://store.steampowered.com/app/505410/Riders_of_Icarus_Adventurer_Package_Plus/,44.99
16988,Rocket League X Monstercat Vol. 1,http://store.steampowered.com/app/457193/Rocket_League_X_Monstercat_Vol_1/,5.99
24513,Dragon Saga,http://store.steampowered.com/app/381990/Dragon_Saga/,Free to Play
23070,Leap of Fate - Soundtrack,http://store.steampowered.com/app/459480/Leap_of_Fate__Soundtrack/,3.99
29981,COH 2 - German Skin: (M) Case Blue Summer Pattern,http://store.steampowered.com/app/249104/COH_2__German_Skin_M_Case_Blue_Summer_Pattern/,1.99
30944,Frozen Synapse: Red DLC,http://store.steampowered.com/app/98211/Frozen_Synapse_Red_DLC/,9.99
30802,Cladun X2 / クラシックダンジョンX2,http://store.steampowered.com/app/206250/Cladun_X2__X2/,9.99
13417,Obscure Realm,http://store.steampowered.com/app/589440/Obscure_Realm/,2.99
22626,PAYDAY 2: The Biker Heist,http://store.steampowered.com/app/487210/PAYDAY_2_The_Biker_Heist/,Cooming Soon
26989,After All,http://store.steampowered.com/app/365110/After_All/,0.99
21341,Osiris: New Dawn,http://store.steampowered.com/app/402710/Osiris_New_Dawn/,24.99
23093,Fallout 4 Far Harbor,http://store.steampowered.com/app/435881/Fallout_4_Far_Harbor/,24.99
12900,Crossout - ‘New Year's Junior’ Pack,http://store.steampowered.com/app/770450/Crossout__New_Years_Junior_Pack/,6.99
29159,Dark Aurora Pack,http://store.steampowered.com/app/290402/Dark_Aurora_Pack/,1.99
19310,365 Days,http://store.steampowered.com/app/576390/365_Days/,9.99
14591,Mindset,http://store.steampowered.com/app/716070/Mindset/,0.99
26453,Spriter: Adventure Platformer Pack,http://store.steampowered.com/app/333772/Spriter_Adventure_Platformer_Pack/,24.99
12145,Knight Terrors,http://store.steampowered.com/app/732770/Knight_Terrors/,2.99
29124,Bio Menace,http://store.steampowered.com/app/358180/Bio_Menace/,Cooming Soon
14227,Superflight,http://store.steampowered.com/app/732430/Superflight/,2.99
31474,Napoleon: Total War Demo,http://store.steampowered.com/app/34050/Napoleon_Total_War_Demo/,Cooming Soon
19581,The table at war VR,http://store.steampowered.com/app/555230/The_table_at_war_VR/,14.99
4876,Creature Concepting In 3D,http://store.steampowered.com/app/419620/Creature_Concepting_In_3D/,14.99
24402,Rocksmith® 2014 – Megadeth - “Holy Wars... The Punishment Due”,http://store.steampowered.com/app/390430/Rocksmith_2014__Megadeth__Holy_Wars_The_Punishment_Due/,2.99
8518,Swordlord,http://store.steampowered.com/app/512150/Swordlord/,0.99
24227,Jerry Rice &amp; Nitus' Dog Football,http://store.steampowered.com/app/438660/Jerry_Rice__Nitus_Dog_Football/,10.99
25639,Act of Aggression - Reboot Edition,http://store.steampowered.com/app/318020/Act_of_Aggression__Reboot_Edition/,29.99
14547,The Song of Terminus  終焉的迴響:護界者之歌,http://store.steampowered.com/app/741320/The_Song_of_Terminus/,Free To Play
88,QUAKE Mission Pack 1: Scourge of Armagon,http://store.steampowered.com/app/9040/QUAKE_Mission_Pack_1_Scourge_of_Armagon/,2.99
21485,Unfazed,http://store.steampowered.com/app/506630/Unfazed/,9.99
26613,Initiation Soundtrack,http://store.steampowered.com/app/340661/Initiation_Soundtrack/,0.99
26120,Badland Bandits,http://store.steampowered.com/app/378480/Badland_Bandits/,Free
19678,Vex - World 2 Unlock,http://store.steampowered.com/app/574970/Vex__World_2_Unlock/,0.99
4958,"Magicka 2: Ice, Death and Fury",http://store.steampowered.com/app/414651/Magicka_2_Ice_Death_and_Fury/,9.99
15128,Crankies Workshop: Grizzbot Assembly 2,http://store.steampowered.com/app/719460/Crankies_Workshop_Grizzbot_Assembly_2/,0.99
31286,Majesty 2: Battles of Ardania,http://store.steampowered.com/app/73071/Majesty_2_Battles_of_Ardania/,4.99
20235,Kalen Chock Presents: Sketching with Photography,http://store.steampowered.com/app/559550/Kalen_Chock_Presents_Sketching_with_Photography/,2.99
24025,Chasing Dead,http://store.steampowered.com/app/428440/Chasing_Dead/,9.99
721,"Warhammer 40,000: Space Marine",http://store.steampowered.com/app/55150/Warhammer_40000_Space_Marine/,29.99
18707,Pastelia Stories,http://store.steampowered.com/app/486690/Pastelia_Stories/,9.99
4155,Rocksmith® 2014 – Social Distortion - “Bad Luck”,http://store.steampowered.com/app/369800/Rocksmith_2014__Social_Distortion__Bad_Luck/,2.99
26411,VT 11.5,http://store.steampowered.com/app/371492/VT_115/,13.99
7382,Spa Mania 2,http://store.steampowered.com/app/527930/Spa_Mania_2/,6.99
13041,Dragon Hunter,http://store.steampowered.com/app/759500/Dragon_Hunter/,1.99
27535,Déjà Vu: MacVenture Series,http://store.steampowered.com/app/343820/Dj_Vu_MacVenture_Series/,2.99
15126,VR Triber,http://store.steampowered.com/app/680170/VR_Triber/,Free to Play
21745,Don't Disturb,http://store.steampowered.com/app/501840/Dont_Disturb/,3.49
4638,FaceRig DreadOut Avatars DLC,http://store.steampowered.com/app/414240/FaceRig_DreadOut_Avatars_DLC/,Cooming Soon
27415,CroNix - Bronze starter Pack,http://store.steampowered.com/app/346540/CroNix__Bronze_starter_Pack/,9.99
2546,Max Gentlemen,http://store.steampowered.com/app/257710/Max_Gentlemen/,Free
293,Fallout 2: A Post Nuclear Role Playing Game,http://store.steampowered.com/app/38410/Fallout_2_A_Post_Nuclear_Role_Playing_Game/,9.99
2325,"""Precisely Calibrated Stringstick"" Bow",http://store.steampowered.com/app/308162/Precisely_Calibrated_Stringstick_Bow/,Cooming Soon
16634,Fate/EXTELLA - Formal King,http://store.steampowered.com/app/626547/FateEXTELLA__Formal_King/,1.99
7844,Cosmic Trip,http://store.steampowered.com/app/427240/Cosmic_Trip/,19.99
27380,Veteran Combat,http://store.steampowered.com/app/351420/Veteran_Combat/,1.99
26862,American History Lux,http://store.steampowered.com/app/357710/American_History_Lux/,9.99
15741,Hard Minus,http://store.steampowered.com/app/692290/Hard_Minus/,0.99
24189,Rocksmith® 2014 – Sister Hazel - “All For You”,http://store.steampowered.com/app/390448/Rocksmith_2014__Sister_Hazel__All_For_You/,2.99
6519,ESEA Premium,http://store.steampowered.com/app/497340/ESEA_Premium/,8.99
8703,Wacky Spores: The Chase,http://store.steampowered.com/app/582530/Wacky_Spores_The_Chase/,8.99
25514,Steel Armor: Basra 86,http://store.steampowered.com/app/399860/Steel_Armor_Basra_86/,9.99
5607,Love is Blind: Mutants,http://store.steampowered.com/app/444460/Love_is_Blind_Mutants/,Cooming Soon
8728,HMM Starter Pack,http://store.steampowered.com/app/587413/HMM_Starter_Pack/,14.99
13118,Monkeys Ahoy,http://store.steampowered.com/app/744880/Monkeys_Ahoy/,4.99
27661,Khaba,http://store.steampowered.com/app/338110/Khaba/,3.99
15629,Puzzle Pirates - Defiant Armada pack,http://store.steampowered.com/app/704900/Puzzle_Pirates__Defiant_Armada_pack/,19.99
13865,ReturnState,http://store.steampowered.com/app/719340/ReturnState/,9.99
14735,VRMakingSense,http://store.steampowered.com/app/720330/VRMakingSense/,0.99
31684,NecroVision,http://store.steampowered.com/app/7860/NecroVision/,4.99
17721,Two Worlds II - Digital Deluxe Content,http://store.steampowered.com/app/633963/Two_Worlds_II__Digital_Deluxe_Content/,6.99
25833,Karma. Incarnation 1 Demo,http://store.steampowered.com/app/394710/Karma_Incarnation_1_Demo/,Cooming Soon
1187,Hitman: Absolution: Bartoli Custom Gun,http://store.steampowered.com/app/216414/Hitman_Absolution_Bartoli_Custom_Gun/,0.99
16572,Dragonflight,http://store.steampowered.com/app/386930/Dragonflight/,9.99
19320,EvilMorph Soundtrack,http://store.steampowered.com/app/586500/EvilMorph_Soundtrack/,0.99
22922,Star Drifter,http://store.steampowered.com/app/485330/Star_Drifter/,0.99
7879,Escape From Nazi Labs,http://store.steampowered.com/app/524680/Escape_From_Nazi_Labs/,4.99
24178,Rocksmith® 2014 – Loverboy - “Working for the Weekend”,http://store.steampowered.com/app/390454/Rocksmith_2014__Loverboy__Working_for_the_Weekend/,2.99
6582,Maze Subject 360 Strategy Guide,http://store.steampowered.com/app/501250/Maze_Subject_360_Strategy_Guide/,Free
5893,Raw Deal,http://store.steampowered.com/app/441150/Raw_Deal/,3.99
19721,Fantasy Grounds - Islands of Plunder: Raid on the Emperor's Hand (PFRPG),http://store.steampowered.com/app/575250/Fantasy_Grounds__Islands_of_Plunder_Raid_on_the_Emperors_Hand_PFRPG/,4.99
31385,Lugaru HD,http://store.steampowered.com/app/25010/Lugaru_HD/,9.99
6250,Call of Duty®: Black Ops III - C.O.D.E. Valor Calling Cards,http://store.steampowered.com/app/470190/Call_of_Duty_Black_Ops_III__CODE_Valor_Calling_Cards/,3.99
16049,Neckbeards: Basement Arena,http://store.steampowered.com/app/693380/Neckbeards_Basement_Arena/,3.99
7242,Conga Master,http://store.steampowered.com/app/489720/Conga_Master/,9.99
4531,Normality,http://store.steampowered.com/app/400370/Normality/,5.99
13471,Real RC Flight Simulator,http://store.steampowered.com/app/733440/Real_RC_Flight_Simulator/,15.99
23958,Cologne,http://store.steampowered.com/app/444740/Cologne/,12.99
17970,Arcane Mapper,http://store.steampowered.com/app/598180/Arcane_Mapper/,9.99
15504,Tricolour Lovestory,http://store.steampowered.com/app/668630/Tricolour_Lovestory/,1.99
30631,Rocksmith - The Offspring - Come Out and Play,http://store.steampowered.com/app/206137/Rocksmith__The_Offspring__Come_Out_and_Play/,2.99
21427,Agenda,http://store.steampowered.com/app/513460/Agenda/,9.99
28869,GhostControl Inc.,http://store.steampowered.com/app/280540/GhostControl_Inc/,14.99
14112,Injustice™ 2 - Ultimate Pack,http://store.steampowered.com/app/734280/Injustice_2__Ultimate_Pack/,39.99
4373,Rocksmith® 2014 – The Doors - “Break on Through (to the Other Side)”,http://store.steampowered.com/app/369821/Rocksmith_2014__The_Doors__Break_on_Through_to_the_Other_Side/,2.99
20926,Off-Peak Soundtrack,http://store.steampowered.com/app/544980/OffPeak_Soundtrack/,6.99
9739,Rocksmith® 2014 Edition – Remastered – Sheryl Crow Song Pack,http://store.steampowered.com/app/590211/Rocksmith_2014_Edition__Remastered__Sheryl_Crow_Song_Pack/,7.99
10771,GAIA 2200,http://store.steampowered.com/app/671200/GAIA_2200/,3.99
3252,Call of Duty®: Advanced Warfare - Havoc,http://store.steampowered.com/app/318791/Call_of_Duty_Advanced_Warfare__Havoc/,14.99
32064,LightStrike,http://store.steampowered.com/app/579130/LightStrike/,3.99
28,Half-Life,http://store.steampowered.com/app/70/HalfLife/,9.99
14660,Affliction Breakout Edition DLC,http://store.steampowered.com/app/619120/Affliction_Breakout_Edition_DLC/,2.99
10390,The Western Hunter,http://store.steampowered.com/app/672570/The_Western_Hunter/,6.99
28588,Cognition - Original Soundtrack Vol 1,http://store.steampowered.com/app/316670/Cognition__Original_Soundtrack_Vol_1/,5.99
26464,HIS - [P-61C] Berta Hildebrand Pack,http://store.steampowered.com/app/369504/HIS__P61C_Berta_Hildebrand_Pack/,19.99
23561,StarsOne,http://store.steampowered.com/app/457010/StarsOne/,9.99
4060,Fork Truck Challenge,http://store.steampowered.com/app/374120/Fork_Truck_Challenge/,7.99
5715,Adam's Venture: Origins,http://store.steampowered.com/app/400360/Adams_Venture_Origins/,19.99
20226,I Hate Santa,http://store.steampowered.com/app/557730/I_Hate_Santa/,2.99
27446,Steam Heroes,http://store.steampowered.com/app/341160/Steam_Heroes/,5.99
29996,RPG Maker VX Ace - High Fantasy Main Party Pack 1,http://store.steampowered.com/app/249921/RPG_Maker_VX_Ace__High_Fantasy_Main_Party_Pack_1/,11.99
29319,Liquid Rhythm,http://store.steampowered.com/app/262610/Liquid_Rhythm/,49.99
20530,Mekazoo,http://store.steampowered.com/app/390330/Mekazoo/,9.99
26871,HIS - [P-82] Twin mustang custom Pack,http://store.steampowered.com/app/355262/HIS__P82_Twin_mustang_custom_Pack/,19.99
19074,Zpeciation: Tough Days (TD),http://store.steampowered.com/app/591950/Zpeciation_Tough_Days_TD/,0.99
18104,TS Marketplace: GWR High Waist Collett Coaches Pack 01 Add-On,http://store.steampowered.com/app/513096/TS_Marketplace_GWR_High_Waist_Collett_Coaches_Pack_01_AddOn/,4.99
4894,AX:EL - Air XenoDawn,http://store.steampowered.com/app/319830/AXEL__Air_XenoDawn/,Cooming Soon
19201,VRC PRO Branded cars and components Deluxe,http://store.steampowered.com/app/574670/VRC_PRO_Branded_cars_and_components_Deluxe/,14.99
4325,"NOBUNAGA'S AMBITION: SoI - Scenario 1 ""Stronger Than a Alliance""",http://store.steampowered.com/app/392630/NOBUNAGAS_AMBITION_SoI__Scenario_1_Stronger_Than_a_Alliance/,2.99
27537,8BitMMO - Steam Founder's Pack Basic,http://store.steampowered.com/app/270870/8BitMMO__Steam_Founders_Pack_Basic/,9.99
4643,USFIV: Femme Fatale Horror Pack,http://store.steampowered.com/app/344174/USFIV_Femme_Fatale_Horror_Pack/,3.99
16495,Crusader Crash,http://store.steampowered.com/app/675120/Crusader_Crash/,3.99
17394,H.I.S.T.O.R.Y T.O.R.C.H.K.A,http://store.steampowered.com/app/521830/HISTORY_TORCHKA/,0.99
12133,Mover,http://store.steampowered.com/app/733250/Mover/,0.99
7988,Timber! The Logging Experts,http://store.steampowered.com/app/553100/Timber_The_Logging_Experts/,7.99
182,Brothers in Arms: Earned in Blood™,http://store.steampowered.com/app/19800/Brothers_in_Arms_Earned_in_Blood/,9.99
5317,Train Simulator: Feather River Canyon Route Add-On,http://store.steampowered.com/app/376932/Train_Simulator_Feather_River_Canyon_Route_AddOn/,39.99
1281,Street Fighter X Tekken: Additional 12 Characters Pack,http://store.steampowered.com/app/210113/Street_Fighter_X_Tekken_Additional_12_Characters_Pack/,19.99
13929,Super 123,http://store.steampowered.com/app/711700/Super_123/,Cooming Soon
13542,"FSX Steam Edition: Toposim Japan, Korea &amp; Taiwan Add-On",http://store.steampowered.com/app/677997/FSX_Steam_Edition_Toposim_Japan_Korea__Taiwan_AddOn/,19.99
17141,Chaos;Child,http://store.steampowered.com/app/653250/ChaosChild/,1.99
27577,Lost Saga - White Grim Reaper's Perfect Package,http://store.steampowered.com/app/343760/Lost_Saga__White_Grim_Reapers_Perfect_Package/,24.99
18885,Fantasy Grounds - Mini-Dungeon #016: The Halls of Hellfire (PFRPG),http://store.steampowered.com/app/576580/Fantasy_Grounds__MiniDungeon_016_The_Halls_of_Hellfire_PFRPG/,2.99
13126,Rocksmith® 2014 Edition – Remastered – Johnny Cash &amp; June Carter - “Jackson”,http://store.steampowered.com/app/637808/Rocksmith_2014_Edition__Remastered__Johnny_Cash__June_Carter__Jackson/,2.99
27363,Reload,http://store.steampowered.com/app/330370/Reload/,4.99
23706,Tokyo Babel,http://store.steampowered.com/app/443380/Tokyo_Babel/,34.99
21901,OmniBus Demo,http://store.steampowered.com/app/422080/OmniBus_Demo/,Cooming Soon
20127,OneShot,http://store.steampowered.com/app/420530/OneShot/,9.99
17091,Oddworld: Stranger's Wrath - Soundtrack (Volume One),http://store.steampowered.com/app/616970/Oddworld_Strangers_Wrath__Soundtrack_Volume_One/,2.99
11237,STICK ENGINE,http://store.steampowered.com/app/654740/STICK_ENGINE/,4.99
14309,Rhythmica,http://store.steampowered.com/app/712120/Rhythmica/,Cooming Soon
15357,Crazy Mob,http://store.steampowered.com/app/709890/Crazy_Mob/,3.99
66,FlatOut,http://store.steampowered.com/app/6220/FlatOut/,7.49
