url,id,genres,tags,specs,price
http://store.steampowered.com/app/603030/Lamp_Head/,603030,adventure  casual  indie,indie  casual  adventure  2d  atmospheric  puzzle  difficult  exploration  great soundtrack  funny,singleplayer  steam trading cards,1.99
http://store.steampowered.com/app/339384/XPlane_10_AddOn__Carenado__C340_II/,339384,simulation,simulation,singleplayer  multiplayer  crossplatform multiplayer  downloadable content,29.99
http://store.steampowered.com/app/378620/Chicken_Invaders_3__Christmas_Edition/,378620,action  casual  indie,action  indie  casual,singleplayer  multiplayer  coop  shared/split screen  crossplatform multiplayer  downloadable content  steam achievements  full controller support  steam trading cards  steam cloud  stats  steam leaderboards,2.99
http://store.steampowered.com/app/372380/Warriors__Castles/,372380,action  indie  early access,early access  action  indie  multiplayer  medieval  fantasy  hack and slash  singleplayer,multiplayer  online multiplayer  crossplatform multiplayer  steam achievements  stats,2.99
http://store.steampowered.com/app/685230/Aliens_X/,685230,action  indie,action  indie  arcade  retro  singleplayer  2d  pixel graphics  gamemaker  fastpaced,singleplayer,3.99
http://store.steampowered.com/app/263100/903m/,263100,indie,indie  short  walking simulator  exploration  interactive fiction  experimental  firstperson  singleplayer,singleplayer,0.99
http://store.steampowered.com/app/353600/Spellbind/,353600,adventure  indie  rpg,adventure  indie  rpg,singleplayer,9.99
http://store.steampowered.com/app/206092/Rocksmith__Lynyrd_Skynyrd__Free_Bird/,206092,casual  simulation,casual  simulation,singleplayer  shared/split screen  downloadable content,2.99
http://store.steampowered.com/app/528080/Night_Forest/,528080,action  adventure  casual  indie,casual  action  adventure  indie  platformer,singleplayer  steam trading cards,1.99
http://store.steampowered.com/app/379310/LISA_the_Joyful/,379310,adventure  indie  rpg,indie  rpg  adventure  great soundtrack  female protagonist,singleplayer  downloadable content  steam achievements  steam trading cards  partial controller support  steam cloud,4.99
http://store.steampowered.com/app/458660/The_Slimekings_Tower/,458660,action  adventure  indie  rpg  early access,early access  indie  adventure  action  rpg  roguelike  roguelite,singleplayer  multiplayer  local multiplayer  coop  local coop  steam achievements  full controller support  steam trading cards  steam cloud,6.99
http://store.steampowered.com/app/434970/That_Dam_Level_redux/,434970,action  indie,action  indie  crafting  2d  pixel graphics  retro  singleplayer  cartoony  replay value  great soundtrack  cute  remake  difficult  platformer  female protagonist,singleplayer  steam achievements  full controller support,8.99
http://store.steampowered.com/app/346090/I_Cant_Escape_Darkness/,346090,adventure  indie,horror  adventure  atmospheric  indie  firstperson  difficult  dark  controller  survival horror  replay value  dungeon crawler,singleplayer  steam achievements  full controller support  steam trading cards  steam cloud  steam leaderboards,11.99
http://store.steampowered.com/app/577030/The_Tenth_Line__Digital_Art_Book__Soundtrack/,577030,indie  rpg,rpg  indie,singleplayer  downloadable content,4.99
http://store.steampowered.com/app/526450/Hack_Time/,526450,adventure  simulation  strategy,strategy  adventure  simulation,singleplayer,4.99
http://store.steampowered.com/app/91609/Sanctum_Yogscave_Free_DLC/,91609,action  strategy  indie  casual,action  indie  casual  strategy,singleplayer  multiplayer  coop  downloadable content  steam achievements  partial controller support  steam cloud  steam leaderboards,Cooming Soon
http://store.steampowered.com/app/498370/Basketball_Court_VR/,498370,no info available,indie  casual  sports  vr,singleplayer  steam achievements  steam leaderboards  htc vive  tracked motion controllers  roomscale,0.99
http://store.steampowered.com/app/324390/The_Body_Changer/,324390,action  adventure  indie,adventure  indie  action  puzzle,singleplayer  steam achievements  steam trading cards  partial controller support  steam cloud  stats  steam leaderboards,19.99
http://store.steampowered.com/app/624690/NEXT_JUMP_Shmup_Tactics/,624690,action  indie  strategy,indie  action  strategy  turnbased  turnbased tactics  shoot 'em up  turnbased combat  topdown shooter  puzzle  2d  singleplayer  roguelike  rpg  gridbased movement  space  pixel graphics  roguelite  difficult  bullet hell  great soundtrack,singleplayer  steam trading cards,4.99
http://store.steampowered.com/app/403830/The_Consuming_Shadow/,403830,adventure,adventure  lovecraftian  survival horror  2d  indie  horror  roguelike  atmospheric  roguelite  dark  procedural generation,singleplayer  steam achievements  full controller support  steam trading cards  stats,9.99
http://store.steampowered.com/app/582550/Passpartout_The_Starving_Artist/,582550,casual  indie  simulation,casual  indie  simulation  singleplayer  relaxing  handdrawn  funny  cartoon  action  memes,singleplayer  steam achievements  steam trading cards  steam cloud,9.99
http://store.steampowered.com/app/216436/Gotham_City_Impostors_Free_to_Play_Gadget_Pack__Starter/,216436,action,action,multiplayer  downloadable content  steam achievements  steam cloud  valve anticheat enabled  stats  steam leaderboards,1.99
http://store.steampowered.com/app/710640/UNDERGROUND_CLUB_2018/,710640,casual  indie  racing  simulation,indie  casual  simulation  racing,singleplayer  partial controller support,7.99
http://store.steampowered.com/app/249320/DCS_Flaming_Cliffs_3/,249320,simulation,simulation  flight  military,singleplayer  multiplayer  downloadable content  captions available  partial controller support,39.99
http://store.steampowered.com/app/678200/VR_Table_Sports/,678200,no info available,simulation  indie  casual  sports  vr  soccer  multiplayer,singleplayer  online multiplayer  htc vive  oculus rift  tracked motion controllers  roomscale,7.99
http://store.steampowered.com/app/729760/Heliborne__Exclusive_Camouflage_Pack/,729760,action  indie  massively multiplayer,action  massively multiplayer  indie,singleplayer  multiplayer  coop  crossplatform multiplayer  downloadable content  steam trading cards  partial controller support,3.99
http://store.steampowered.com/app/32350/STAR_WARS_Starfighter/,32350,action  simulation,action  simulation  star wars  space  scifi  singleplayer  flight,singleplayer  partial controller support  steam cloud,5.99
http://store.steampowered.com/app/412560/Pro_Basketball_Manager_2016__US_Edition/,412560,sports,sports,singleplayer  steam achievements,9.99
http://store.steampowered.com/app/538560/Help_Me_Doctor/,538560,casual  indie  simulation,indie  casual  simulation  funny,singleplayer,2.99
http://store.steampowered.com/app/228320/A_Valley_Without_Wind_2/,228320,action  adventure  indie  strategy,action  indie  strategy  platformer  adventure  procedural generation  2d  coop  singleplayer  scifi  fantasy  metroidvania  multiplayer,singleplayer  multiplayer  coop  crossplatform multiplayer  steam achievements  partial controller support,14.99
http://store.steampowered.com/app/425100/ReVen_XBridge_Soundtrack/,425100,action  adventure  rpg,action  adventure  rpg,singleplayer  multiplayer  coop  shared/split screen  crossplatform multiplayer  downloadable content  partial controller support  includes level editor,4.99
http://store.steampowered.com/app/350780/MANOS/,350780,action  adventure  indie,indie  action  adventure  platformer  pixel graphics  retro,singleplayer  steam achievements  full controller support  steam leaderboards,2.99
http://store.steampowered.com/app/359160/TAKEN/,359160,action  casual  indie,casual  action  indie  horror,singleplayer,1.99
http://store.steampowered.com/app/342817/Rocksmith_2014__Lit__My_Own_Worst_Enemy/,342817,casual  simulation,casual  simulation,singleplayer  shared/split screen  downloadable content  steam achievements  steam trading cards  partial controller support  steam cloud  steam leaderboards,2.99
http://store.steampowered.com/app/599860/Fantasy_Grounds__In_Search_of_the_Trollslayer_BRP/,599860,indie  rpg  strategy,strategy  rpg  indie,multiplayer  coop  crossplatform multiplayer  downloadable content,9.99
http://store.steampowered.com/app/251230/Livelock/,251230,action  adventure  indie,action  adventure  indie  coop  topdown shooter  topdown  robots  shooter  scifi  twin stick shooter  mechs,singleplayer  coop  steam achievements  full controller support  steam trading cards  steam cloud,9.99
http://store.steampowered.com/app/716800/War_Builder_League/,716800,action  adventure  indie  simulation  strategy,action  indie  simulation  adventure  strategy  free to play  multiplayer  war  coop  scifi  cyberpunk  replay value  arena shooter  gun customization  fastpaced  character customization  fps  difficult  great soundtrack  survival,singleplayer  multiplayer  steam achievements,Cooming Soon
http://store.steampowered.com/app/1510/Uplink/,1510,indie  strategy,hacking  indie  strategy  singleplayer  cyberpunk  great soundtrack  classic  simulation  scifi  2d  realtime with pause  experimental  story rich  atmospheric  perma death,singleplayer,9.99
http://store.steampowered.com/app/215913/Magic_2014_Hunting_Season_Deck_Key/,215913,no info available,no info available,downloadable content,0.99
http://store.steampowered.com/app/13630/Tom_Clancys_Ghost_Recon_Island_Thunder/,13630,action,action  tactical  fps  shooter,no info available,4.99
http://store.steampowered.com/app/527360/Escape_Station/,527360,no info available,early access  indie  adventure  vr,singleplayer  htc vive  tracked motion controllers  standing  roomscale,6.99
http://store.steampowered.com/app/433120/Crash_Landing/,433120,indie,indie  topdown shooter,singleplayer,9.99
http://store.steampowered.com/app/598120/The_Elder_Scrolls_V_Skyrim_Special_Edition__Creation_Club/,598120,rpg,psychological horror  horror  dark humor  memes  dystopian  comedy  illuminati  rpg  survival horror  gore,singleplayer  downloadable content  steam achievements  partial controller support  steam cloud,Cooming Soon
http://store.steampowered.com/app/345681/OMSI_2_Addon_Vienna_2__Line_23A/,345681,simulation,simulation,singleplayer  downloadable content  partial controller support  includes level editor,29.99
http://store.steampowered.com/app/588880/Crush/,588880,action  indie,action  indie  shoot 'em up,singleplayer  steam achievements  partial controller support,11.99
http://store.steampowered.com/app/63399/Sniper_Elite_V2__The_Landwehr_Canal_Pack/,63399,action,action,singleplayer  downloadable content  steam achievements  partial controller support  steam cloud  steam leaderboards,4.99
http://store.steampowered.com/app/373820/Soccer_Pinball_Thrills/,373820,casual  simulation  sports,casual  simulation  sports  pinball,singleplayer  full controller support  steam leaderboards,3.99
http://store.steampowered.com/app/348160/RUMP__Its_a_Jump_and_Rump/,348160,action  casual  indie  racing,racing  indie  casual  action,singleplayer  multiplayer  steam achievements  steam trading cards  inapp purchases  partial controller support  steam cloud  stats  steam leaderboards,9.99
http://store.steampowered.com/app/710040/Fantasy_Grounds__Feats_of_Legend_20_Story_Feats_PFRPG/,710040,indie  rpg  strategy,strategy  rpg  indie,multiplayer  coop  crossplatform multiplayer  downloadable content,1.99
http://store.steampowered.com/app/315320/Skilltree_Saga/,315320,action  adventure  casual  indie  rpg,rpg  casual  indie  adventure  action  turnbased  fantasy  singleplayer  procedural generation  medieval  replay value  dungeon crawler  roguelite,singleplayer  steam achievements  steam leaderboards,9.99
http://store.steampowered.com/app/708260/Text_Wormhole/,708260,action  casual  indie,action  indie  casual  shoot 'em up  bullet hell,singleplayer  local multiplayer  shared/split screen  steam achievements  full controller support  steam leaderboards,0.99
http://store.steampowered.com/app/349440/The_Undying_Plague/,349440,action  indie,indie  action  zombies,singleplayer  steam trading cards  stats,0.99
http://store.steampowered.com/app/597300/Eddie_Pepitone_In_Ruins/,597300,no info available,movie,captions available,3.99
http://store.steampowered.com/app/731640/Knife_Battles/,731640,indie  massively multiplayer,indie  massively multiplayer,online multiplayer  partial controller support  steam cloud,5.99
http://store.steampowered.com/app/420030/Galactic_Civilizations_III__Precursor_Worlds_DLC/,420030,indie  strategy,indie  strategy,singleplayer  multiplayer  online multiplayer  online coop  downloadable content  steam achievements  steam trading cards  steam workshop  stats,3.99
http://store.steampowered.com/app/600280/Supreme_Ruler_The_Great_War/,600280,indie  simulation  strategy,strategy  indie  simulation  historical  world war i  grand strategy  rts  realtime with pause  multiplayer,singleplayer  multiplayer  steam achievements  steam trading cards,19.99
http://store.steampowered.com/app/295032/Rocksmith_2014__Autograph__Turn_Up_The_Radio/,295032,casual  simulation,simulation  casual,singleplayer  shared/split screen  downloadable content  steam achievements  steam trading cards  partial controller support  steam cloud  steam leaderboards,2.99
http://store.steampowered.com/app/315560/Rise_of_Flight_Intrepid_Flyers/,315560,simulation,simulation,singleplayer  multiplayer  coop  downloadable content  steam achievements  partial controller support  stats,14.99
http://store.steampowered.com/app/498240/Batman__The_Telltale_Series/,498240,adventure,batman  superhero  story rich  choices matter  adventure  singleplayer  episodic  action  atmospheric  quicktime events  point & click  dark  comic book  choose your own adventure  detective  violent  noir  visual novel  hidden object  gore,singleplayer  steam achievements  full controller support,24.99
http://store.steampowered.com/app/693635/Hide_and_Seek__Glowing_Ninja_Master_Mask/,693635,casual  free to play  indie,free to play  indie  casual,multiplayer  online multiplayer  coop  online coop  downloadable content,3.99
http://store.steampowered.com/app/405000/UTOPIA_9__A_Volatile_Vacation/,405000,action  indie,indie  twin stick shooter  action  topdown shooter  roguelike  shooter  singleplayer  procedural generation  perma death  difficult  local coop  violent  roguelite  shoot 'em up  casual  building  coop  family friendly  bullet hell  4 player local,singleplayer  local multiplayer  coop  local coop  shared/split screen  steam achievements  full controller support  steam trading cards  steam leaderboards,11.99
http://store.steampowered.com/app/551050/Die_With_Glory/,551050,action  adventure  indie,adventure  action  indie  point & click  funny  singleplayer  fantasy  2d  family friendly  dark humor  comedy  nonlinear,singleplayer  steam achievements  steam trading cards  inapp purchases  steam cloud,5.99
http://store.steampowered.com/app/764270/Fantasy_Grounds__Mountain_Top_Castle_Map_Pack_by_Joshua_Watmough_Map_Pack/,764270,indie  rpg  strategy,strategy  rpg  indie  fantasy  utilities  software,multiplayer  coop  crossplatform multiplayer  downloadable content,6.99
http://store.steampowered.com/app/338070/_/,338070,rpg,rpg,singleplayer,34.99
http://store.steampowered.com/app/686520/Gnomes_Garden_New_home/,686520,casual  strategy,casual  strategy,singleplayer  steam achievements,4.99
http://store.steampowered.com/app/294650/PuttPutt_Goes_to_the_Moon/,294650,adventure  casual,adventure  casual  point & click  family friendly  puzzle  hidden object  story rich  atmospheric  memes,singleplayer,6.99
http://store.steampowered.com/app/61710/Might__Magic_Clash_of_Heroes__I_Am_the_Boss_DLC/,61710,rpg,rpg,singleplayer  multiplayer  coop  downloadable content  partial controller support  steam cloud  valve anticheat enabled  steam leaderboards,2.99
http://store.steampowered.com/app/62100/Chime/,62100,casual,casual  puzzle  music  rhythm  great soundtrack  indie  singleplayer,singleplayer  steam achievements  partial controller support  stats  steam leaderboards,4.99
http://store.steampowered.com/app/525000/Watch_Dogs_2__TBone_Pack/,525000,action  adventure,adventure  action,singleplayer  coop  downloadable content  partial controller support,6.99
http://store.steampowered.com/app/754070/Captain_vs_Sky_Pirates__Forest/,754070,action  adventure  indie  strategy,strategy  action  adventure  indie,singleplayer  downloadable content,0.99
http://store.steampowered.com/app/458640/Big_Pharma_Marketing_and_Malpractice/,458640,indie  simulation  strategy,strategy  indie  simulation,singleplayer  downloadable content  steam achievements  steam trading cards  steam cloud,5.99
http://store.steampowered.com/app/427330/Gods_of_Egypt/,427330,no info available,movie  fantasy  scifi  actionadventure  supernatural,captions available,3.99
http://store.steampowered.com/app/494970/Savana/,494970,casual  indie,indie  casual  point & click,singleplayer,14.99
http://store.steampowered.com/app/687610/Cat_vs_Corgis/,687610,adventure  indie,indie  adventure  singleplayer  funny  arcade  abstract  linear  3d platformer  controller  cute  colorful  replay value,singleplayer  partial controller support,6.99
http://store.steampowered.com/app/104600/Portal_2__The_Final_Hours/,104600,no info available,documentary  singleplayer,singleplayer,1.99
http://store.steampowered.com/app/664110/Void_Wisp/,664110,action  casual  indie,action  indie  casual,singleplayer  full controller support  steam cloud,3.99
http://store.steampowered.com/app/652340/Flagsplosion/,652340,casual  indie,casual  indie  education,singleplayer  steam achievements  steam cloud  stats  steam leaderboards,2.99
http://store.steampowered.com/app/505410/Riders_of_Icarus_Adventurer_Package_Plus/,505410,adventure  massively multiplayer  rpg,adventure  rpg  massively multiplayer,singleplayer  multiplayer  online multiplayer  mmo  downloadable content  steam trading cards  inapp purchases,44.99
http://store.steampowered.com/app/457193/Rocket_League_X_Monstercat_Vol_1/,457193,action  indie  racing  sports,sports  indie  action  racing,singleplayer  multiplayer  coop  shared/split screen  crossplatform multiplayer  downloadable content  steam achievements  full controller support  steam trading cards  steam cloud  stats,5.99
http://store.steampowered.com/app/381990/Dragon_Saga/,381990,free to play  massively multiplayer,free to play  massively multiplayer  mmorpg  anime  rpg  dragons  multiplayer  action  cute,singleplayer  multiplayer  mmo  steam achievements  steam trading cards  partial controller support,Free to Play
http://store.steampowered.com/app/459480/Leap_of_Fate__Soundtrack/,459480,no info available,no info available,downloadable content,3.99
http://store.steampowered.com/app/249104/COH_2__German_Skin_M_Case_Blue_Summer_Pattern/,249104,strategy,strategy,singleplayer  multiplayer  downloadable content,1.99
http://store.steampowered.com/app/98211/Frozen_Synapse_Red_DLC/,98211,strategy  indie,strategy  indie,singleplayer  multiplayer  coop  crossplatform multiplayer  downloadable content  steam achievements,9.99
http://store.steampowered.com/app/206250/Cladun_X2__X2/,206250,action  indie  rpg,rpg  action  indie  jrpg  retro  singleplayer  action rpg  pixel graphics  dungeon crawler  anime  roguelike  character customization,singleplayer,9.99
http://store.steampowered.com/app/589440/Obscure_Realm/,589440,action  adventure  casual  indie,action  adventure  indie  casual,singleplayer  steam achievements  steam trading cards,2.99
http://store.steampowered.com/app/487210/PAYDAY_2_The_Biker_Heist/,487210,action  rpg,action  rpg,singleplayer  multiplayer  coop  downloadable content  steam achievements  full controller support  steam trading cards  inapp purchases,Cooming Soon
http://store.steampowered.com/app/365110/After_All/,365110,indie  rpg,rpg  indie  rpgmaker,singleplayer,0.99
http://store.steampowered.com/app/402710/Osiris_New_Dawn/,402710,action  adventure  indie  rpg  early access,early access  survival  space  open world  multiplayer  scifi  building  adventure  crafting  sandbox  base building  action  coop  singleplayer  rpg  aliens  fps  indie  horror  massively multiplayer,singleplayer  online multiplayer  coop  online coop,24.99
http://store.steampowered.com/app/435881/Fallout_4_Far_Harbor/,435881,rpg,rpg  open world  postapocalyptic  singleplayer  survival  fps  shooter  atmospheric  action  adventure  lovecraftian  action rpg  scifi  exploration  third person,singleplayer  downloadable content  steam achievements  full controller support  steam cloud,24.99
http://store.steampowered.com/app/770450/Crossout__New_Years_Junior_Pack/,770450,action  free to play  massively multiplayer  racing,action  free to play  massively multiplayer  racing,multiplayer  online multiplayer  mmo  coop  online coop  downloadable content  steam achievements  full controller support  steam trading cards  inapp purchases,6.99
http://store.steampowered.com/app/290402/Dark_Aurora_Pack/,290402,rpg,rpg,singleplayer  shared/split screen  downloadable content,1.99
http://store.steampowered.com/app/576390/365_Days/,576390,action  adventure  indie  rpg  early access,early access  action  adventure  indie  rpg  survival,singleplayer  steam achievements  steam trading cards  partial controller support,9.99
http://store.steampowered.com/app/716070/Mindset/,716070,casual  indie,indie  casual  minimalist  puzzle,singleplayer  steam achievements  steam cloud  stats,0.99
http://store.steampowered.com/app/333772/Spriter_Adventure_Platformer_Pack/,333772,animation &amp; modeling  design &amp; illustration  utilities,design & illustration  utilities  animation & modeling,downloadable content,24.99
http://store.steampowered.com/app/732770/Knight_Terrors/,732770,action  indie,action  indie,singleplayer  full controller support,2.99
http://store.steampowered.com/app/358180/Bio_Menace/,358180,action,action  platformer  2d  classic,singleplayer  partial controller support,Cooming Soon
http://store.steampowered.com/app/732430/Superflight/,732430,action  casual  indie  racing  sports,indie  casual  atmospheric  action  sports  racing  flight  procedural generation  relaxing,singleplayer  steam achievements  partial controller support  steam leaderboards,2.99
http://store.steampowered.com/app/34050/Napoleon_Total_War_Demo/,34050,strategy,strategy,singleplayer  game demo,Cooming Soon
http://store.steampowered.com/app/555230/The_table_at_war_VR/,555230,no info available,strategy  casual  simulation  vr,singleplayer  online multiplayer  htc vive  tracked motion controllers  standing  roomscale,14.99
http://store.steampowered.com/app/419620/Creature_Concepting_In_3D/,419620,no info available,tutorial  design & illustration  animation & modeling,no info available,14.99
http://store.steampowered.com/app/390430/Rocksmith_2014__Megadeth__Holy_Wars_The_Punishment_Due/,390430,casual  simulation,casual  simulation,singleplayer  shared/split screen  downloadable content  steam achievements  steam trading cards  partial controller support  steam cloud  steam leaderboards,2.99
http://store.steampowered.com/app/512150/Swordlord/,512150,action  indie,action  indie  swordplay  2d  physics  retro  multiple endings  2d fighter,singleplayer,0.99
http://store.steampowered.com/app/438660/Jerry_Rice__Nitus_Dog_Football/,438660,sports,sports,singleplayer  steam trading cards,10.99
http://store.steampowered.com/app/318020/Act_of_Aggression__Reboot_Edition/,318020,strategy,strategy  rts  multiplayer  military  base building  singleplayer  war  action  classic  tactical  coop,singleplayer  multiplayer  steam achievements  steam trading cards  steam cloud,29.99
http://store.steampowered.com/app/741320/The_Song_of_Terminus/,741320,action  free to play  indie  early access,early access  free to play  action  indie,singleplayer  partial controller support,Free To Play
http://store.steampowered.com/app/9040/QUAKE_Mission_Pack_1_Scourge_of_Armagon/,9040,action,action  fps  classic  shooter  firstperson  horror,singleplayer  multiplayer  steam cloud,2.99
http://store.steampowered.com/app/506630/Unfazed/,506630,action  adventure,action  adventure,singleplayer,9.99
http://store.steampowered.com/app/340661/Initiation_Soundtrack/,340661,rpg,rpg,singleplayer  downloadable content,0.99
http://store.steampowered.com/app/378480/Badland_Bandits/,378480,action  massively multiplayer  racing  rpg  simulation  early access,early access  racing  massively multiplayer  action  rpg  simulation  free to play  steampunk,multiplayer  steam achievements  steam trading cards,Free
http://store.steampowered.com/app/574970/Vex__World_2_Unlock/,574970,adventure  casual  indie  strategy,indie  casual  strategy  adventure  arcade  retro  kickstarter  3d platformer  crowdfunded,singleplayer  downloadable content  steam achievements  captions available  partial controller support  steam cloud,0.99
